"","x","x1","rating","plan","abbreviation","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"89",124,253,3,"Health Net Life Insurance","CA","PPO","Yes",2.5,2.5,2.5,"Commercial","Health Net"
"90",125,263,3,"United HealthCare Services","CA","PPO","Yes",2.5,2.5,3,"Commercial","United"
"91",126,273,3,"UnitedHealthcare Insurance","CA","PPO","Yes",2.5,2.5,3,"Commercial","United"
"92",127,282,2.5,"Blue Shield of California","CA","PPO","Yes",1.5,2,2.5,"Commercial","Blue"
"93",129,910,5,"Kaiser Foundation Health Plan of Northern California (H0524)","CA","HMO","Yes",4,5,4.5,"Medicare","Kaiser"
"94",130,1010,5,"Kaiser Foundation Health Plan of Southern California","CA","HMO","Yes",4,5,4.5,"Medicare","Kaiser"
"95",131,1110,4,"Aetna Life Insurance Company (California)","CA","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"96",132,129,4,"Aetna Life Insurance Company (Pennsylvania)","CA","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"97",133,139,4,"UnitedHealthcare of California","CA","HMO","Yes",3,3.5,3.5,"Medicare","United"
"98",134,148,3.5,"Aetna Health of California","CA","HMO","Yes",2.5,3.5,3,"Medicare","Aetna"
"99",135,158,3.5,"Blue Shield of California","CA","HMO","Yes",3,3.5,3.5,"Medicare","Blue"
"100",136,167,3.5,"CareMore HealthPlan (H0544)","CA","HMO","No",3.5,4,3,"Medicare","Other"
"101",137,176,3.5,"Health Net of California","CA","HMO","Yes",3,3.5,3,"Medicare","Health Net"
"102",138,186,3.5,"SCAN Health Plan (Classic/Connections/Options/Signature)","CA","HMO","No",3.5,3.5,3.5,"Medicare","Other"
"103",139,196,3.5,"UnitedHealthcare Insurance","CA","PPO","Yes",3,3.5,3,"Medicare","United"
"104",140,204,3,"Care1st Health Plan","CA","HMO","Yes",2,3.5,3,"Medicare","Other"
"105",141,214,3,"CareMore HealthPlan (H2593)","CA","HMO","No",2,3.5,3.5,"Medicare","Other"
"106",142,224,3,"CareMore HealthPlan (H3447)","CA","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"107",143,234,3,"CareMore HealthPlan (H4346)","CA","HMO","No",2,3,3.5,"Medicare","Other"
"108",144,244,3,"GEMCare Health Plan","CA","HMO","No",3,3.5,2.5,"Medicare","Other"
"109",145,254,3,"Inter Valley Health Plan","CA","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"110",146,264,3,"SCAN Health Plan (Legacy/Connections) †","CA","HMO","No",2,3,3,"Medicare","Other"
"111",147,274,2.5,"Central Health Plan of California","CA","HMO","No",1.5,3.5,3,"Medicare","Other"
"112",148,283,2.5,"Easy Choice Health Plan","CA","HMO","No",2,2.5,2.5,"Medicare","Other"
"113",150,911,4,"CalOptima","CA","HMO","Yes",2,4,3.5,"Medicaid","Other"
"114",151,1011,3.5,"L.A. Care Health Plan","CA","HMO","Yes",2.5,3.5,3,"Medicaid","Other"
"115",152,1111,3,"Care1st Health Plan (Los Angeles)","CA","HMO","Yes",2,3,2.5,"Medicaid","Other"
"116",153,1210,3,"Care1st Health Plan (San Diego)","CA","HMO","Yes",1.5,3,3,"Medicaid","Other"
"117",154,1310,3,"Community Health Group","CA","HMO","Yes",2.5,2,2.5,"Medicaid","Other"
"118",155,149,3,"Inland Empire Health Plan","CA","HMO","Yes",2,3,2.5,"Medicaid","Other"
"119",156,159,3,"Molina Healthcare of California Partner Plan","CA","HMO","Yes",1.5,3,2.5,"Medicaid","Molina"
"120",157,168,2.5,"Blue Cross of California Partnership Plan","CA","HMO","Yes",1,3,2.5,"Medicaid","Blue"
"121",158,177,2.5,"Health Net of California","CA","HMO","Yes",1,2,2.5,"Medicaid","Health Net"
"122",159,187,2,"Contra Costa Health Plan","CA","HMO","Yes",2,NA,2,"Medicaid","Other"
"123",160,197,1.5,"Alameda Alliance for Health","CA","HMO","Yes",1.5,NA,NA,"Medicaid","Other"
"124",171,912,4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",1.5,4.5,4.5,"Commercial","Kaiser"
"125",172,1012,4,"Cigna HealthCare of Colorado","CO","HMO/POS","Yes",3,4,4,"Commercial","Cigna"
"126",173,1112,3.5,"Cigna Health and Life Insurance","CO","PPO","Yes",2,3.5,3.5,"Commercial","Cigna"
"127",174,1211,3.5,"Connecticut General Life Insurance (Cigna)","CO","PPO","Yes",2,3.5,3.5,"Commercial","Connecticut General"
"128",175,1311,3.5,"HMO Colorado","CO","HMO/POS","Yes",2,3.5,3.5,"Commercial","Other"
"129",176,1410,3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",2.5,3,3.5,"Commercial","Other"
"130",177,1510,3.5,"Rocky Mountain Healthcare Options","CO","PPO","Yes",2.5,3,3,"Commercial","Other"
"131",178,169,3.5,"United HealthCare Services","CO","PPO","Yes",3,3.5,3,"Commercial","United"
"132",179,178,3.5,"UnitedHealthcare Insurance","CO","PPO","Yes",3,3.5,3,"Commercial","United"
"133",180,188,3,"Aetna Health (Pennsylvania) - Colorado","CO","HMO/POS","Yes",2,2.5,2.5,"Commercial","Aetna"
"134",181,198,3,"Aetna Life Insurance Company (Colorado)","CO","PPO","Yes",3,3,2.5,"Commercial","Aetna"
"135",182,206,3,"Humana Health Plan","CO","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"136",183,216,2.5,"United Healthcare Insurance","CO","PPO","Yes",2.5,1.5,2,"Commercial","United"
"137",189,913,4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",3.5,5,4,"Medicare","Kaiser"
"138",190,1013,4,"Aetna Life Insurance Company (Colorado)","CO","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"139",191,1113,4,"Aetna Life Insurance Company (Pennsylvania)","CO","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"140",192,1212,4,"Humana Health Plan","CO","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"141",193,1312,4,"Humana Health Plan - Kansas City","CO","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"142",194,1411,4,"PacifiCare of Colorado","CO","HMO","Yes",3,3.5,3.5,"Medicare","Other"
"143",195,1511,4,"UnitedHealthcare Insurance","CO","HMO","No",4,5,4,"Medicare","United"
"144",196,1610,3.5,"Aetna Health (Pennsylvania) - Colorado","CO","HMO","Yes",2.5,3,3.5,"Medicare","Aetna"
"145",197,179,3.5,"Humana Insurance (Ohio)","CO","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"146",198,189,3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",4,3,2.5,"Medicare","Other"
"147",199,199,3.5,"UnitedHealthcare Insurance","CO","PPO","Yes",3,3.5,3,"Medicare","United"
"148",200,207,2.5,"Denver Health Medical Plan","CO","HMO","No",1.5,3.5,2.5,"Medicare","Other"
"149",201,217,2.5,"UnitedHealthcare of Colorado †","CO","HMO","No",2.5,3,3,"Medicare","United"
"150",202,227,2,"Colorado Access Health Plan","CO","HMO","No",1.5,2,2,"Medicare","Other"
"151",205,1014,3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",3,3,4,"Medicaid","Other"
"152",206,915,4.5,"Anthem Blue Cross and Blue Shield in Connecticut","CT","HMO/POS","Yes",4.5,4.5,4,"Commercial","Anthem"
"153",207,1015,4,"Aetna Life Insurance Company (Connecticut)","CT","PPO","Yes",3.5,3.5,3,"Commercial","Aetna"
"154",208,1114,4,"Cigna Health and Life Insurance","CT","PPO","Yes",3.5,4,3.5,"Commercial","Cigna"
"155",209,1213,4,"ConnectiCare","CT","HMO/POS","Yes",3,4,3.5,"Commercial","Other"
"156",210,1313,4,"ConnectiCare Insurance Company (CICI)","CT","HMO/POS","Yes",3,4,3.5,"Commercial","Other"
"157",211,1412,4,"Connecticut General Life Insurance (Cigna)","CT","PPO","Yes",3.5,4,3.5,"Commercial","Connecticut General"
"158",212,1512,3.5,"Aetna Health (Connecticut)","CT","HMO/POS","Yes",2.5,3.5,3,"Commercial","Aetna"
"159",213,1611,3.5,"Oxford Health Plans","CT","HMO/POS","Yes",4.5,3.5,2,"Commercial","Other"
"160",214,1710,3,"Oxford Health Insurance","CT","PPO","Yes",2.5,3,2,"Commercial","Other"
"161",215,1810,3,"United Healthcare Insurance","CT","PPO","Yes",3,3,2,"Commercial","United"
"162",216,1910,3,"United HealthCare Services","CT","PPO","Yes",3,3,2,"Commercial","United"
"163",217,208,2.5,"Cigna HealthCare of Connecticut","CT","HMO/POS","Yes",3,2.5,NA,"Commercial","Cigna"
"164",218,218,2.5,"United Healthcare Insurance","CT","PPO","Yes",2.5,1.5,2,"Commercial","United"
"165",222,916,4,"Aetna Life Insurance Company (Connecticut)","CT","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"166",223,1016,4,"Aetna Life Insurance Company (Pennsylvania)","CT","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"167",224,1115,4,"UnitedHealthcare Insurance (Regional)","CT","PPO","Yes",3,3.5,3.5,"Medicare","United"
"168",225,1214,3.5,"Aetna Health (Connecticut)","CT","HMO","Yes",3,2.5,3.5,"Medicare","Aetna"
"169",226,1314,3.5,"ConnectiCare","CT","HMO/POS","No",3.5,3,3.5,"Medicare","Other"
"170",227,1413,3.5,"Oxford Health Plans","CT","HMO/POS","Yes",2.5,3,3.5,"Medicare","Other"
"171",228,1513,3.5,"UnitedHealthcare Insurance","CT","PPO","Yes",3,3.5,3,"Medicare","United"
"172",229,1612,2.5,"WellCare of Connecticut","CT","HMO/POS","No",2,2.5,2.5,"Medicare","WellCare"
"173",233,918,4,"Highmark BCBSD","DE","HMO/POS/PPO","Yes",4,3.5,3.5,"Commercial","Blue"
"174",234,1018,3.5,"Aetna Health (Pennsylvania) - Delaware","DE","HMO/POS","Yes",3,3,3,"Commercial","Aetna"
"175",235,1116,3.5,"Coventry Health Care of Delaware","DE","HMO/POS","Yes",3,3.5,3,"Commercial","Coventry"
"176",236,1215,3,"Optimum Choice","DE","HMO/POS","Yes",2.5,3,2,"Commercial","Other"
"177",237,1315,3,"United HealthCare Services","DE","PPO","Yes",3,3.5,2,"Commercial","United"
"178",238,1414,3,"UnitedHealthcare Insurance","DE","PPO","Yes",3,3.5,2,"Commercial","United"
"179",239,1514,2.5,"Aetna Life Insurance Company (Delaware)","DE","PPO","Yes",2.5,2.5,2,"Commercial","Aetna"
"180",240,1613,2.5,"Cigna Health and Life Insurance","DE","HMO/POS/PPO","Yes",3,2.5,1.5,"Commercial","Cigna"
"181",241,1712,2.5,"Connecticut General Life Insurance (Cigna)","DE","HMO/POS/PPO","Yes",3,2.5,1.5,"Commercial","Connecticut General"
"182",242,1811,2.5,"United Healthcare Insurance","DE","PPO","Yes",2.5,1.5,2,"Commercial","United"
"183",246,919,4,"Aetna Life Insurance Company (Delaware)","DE","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"184",247,1019,4,"Aetna Life Insurance Company (Pennsylvania)","DE","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"185",248,1117,3.5,"Aetna Health (Pennsylvania) - Delaware","DE","HMO","Yes",3,3,3,"Medicare","Aetna"
"186",249,1216,3.5,"Humana Insurance (Ohio)","DE","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"187",250,1316,3.5,"UnitedHealthcare Insurance","DE","PPO","Yes",3,3.5,3,"Medicare","United"
"188",251,1415,3,"Bravo Health Mid-Atlantic","DE","HMO","Yes",2,2.5,2.5,"Medicare","Other"
"189",252,1515,2,"UnitedHealthcare Insurance †","DE","PPO","No",2,1,2.5,"Medicare","United"
"190",253,920,3,"UnitedHealthcare Community Plan","DE","HMO","Yes",3,3,2,"Medicaid","United"
"191",254,921,5,"Kaiser Foundation Health Plan of the Mid-Atlantic States","DC","HMO","Yes",4,4.5,4.5,"Commercial","Kaiser"
"192",255,1020,3.5,"Aetna Health (Pennsylvania) - Maryland","DC","HMO/POS","Yes",3.5,3,3,"Commercial","Aetna"
"193",256,1118,3.5,"Aetna Life Insurance Company (MD/DC)","DC","PPO","Yes",2.5,3,3,"Commercial","Aetna"
"194",257,1217,3.5,"CareFirst BlueChoice","DC","HMO/POS","Yes",3,3,2.5,"Commercial","Blue"
"195",258,1317,3.5,"Cigna Health and Life Insurance","DC","HMO/POS/PPO","Yes",3,3,3.5,"Commercial","Cigna"
"196",259,1416,3.5,"Connecticut General Life Insurance (Cigna)","DC","HMO/POS/PPO","Yes",3,3,3.5,"Commercial","Connecticut General"
"197",260,1516,3.5,"Group Hospitalization and Medical Services","DC","HMO/POS","Yes",3,3,2.5,"Commercial","Other"
"198",261,1614,3.5,"MD - Individual Practice Association","DC","HMO/POS","Yes",4,3.5,2,"Commercial","Other"
"199",262,1713,3.5,"UnitedHealthcare of the Mid-Atlantic","DC","HMO/POS","Yes",3,3.5,2,"Commercial","United"
"200",263,1812,3,"CareFirst of Maryland","DC","PPO","Yes",2.5,3,2.5,"Commercial","Other"
"201",264,1912,3,"Group Hospitalization and Medical Services","DC","PPO","Yes",2.5,3,2.5,"Commercial","Other"
"202",265,2010,3,"Optimum Choice","DC","HMO/POS","Yes",2.5,3,2,"Commercial","Other"
"203",266,2110,2.5,"United Healthcare Insurance","DC","PPO","Yes",2.5,1.5,2,"Commercial","United"
"204",267,229,2.5,"United HealthCare Services","DC","PPO","Yes",2,3,2,"Commercial","United"
"205",268,239,2.5,"UnitedHealthcare Insurance","DC","PPO","Yes",2,3,2,"Commercial","United"
"206",272,922,5,"Kaiser Foundation Health Plan of the Mid-Atlantic States","DC","HMO","Yes",3.5,5,4.5,"Medicare","Kaiser"
"207",273,1021,4,"Aetna Life Insurance Company (MD/DC)","DC","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"208",274,1119,4,"Aetna Life Insurance Company (Pennsylvania)","DC","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"209",275,1218,3.5,"UnitedHealthcare Insurance","DC","PPO","Yes",3,3.5,3,"Medicare","United"
"210",276,1318,3,"Bravo Health Mid-Atlantic","DC","HMO","Yes",2,2.5,2.5,"Medicare","Other"
"211",277,1417,2,"UnitedHealthcare Insurance †","DC","PPO","No",2,1,2.5,"Medicare","United"
"212",279,923,3.5,"AmeriHealth District of Columbia","DC","HMO","Yes (Interim)",3,4,2.5,"Medicaid","Other"
"213",280,1022,2.5,"Health Services for Children with Special Needs","DC","HMO","No",3,3.5,2,"Medicaid","Other"
"214",283,924,4.5,"Capital Health Plan","FL","HMO","Yes",4.5,4.5,4,"Commercial","Other"
"215",284,1023,4,"AvMed Health Plans","FL","HMO/POS","Yes",4,3,3,"Commercial","Other"
"216",285,1121,4,"Florida Health Care Plans","FL","HMO/POS","Yes",4.5,3.5,3.5,"Commercial","Other"
"217",286,1220,3.5,"Aetna Life Insurance Company (Florida)","FL","PPO","Yes",3.5,2.5,3,"Commercial","Aetna"
"218",287,1319,3.5,"Cigna Health and Life Insurance","FL","PPO","Yes",3,3,3,"Commercial","Cigna"
"219",288,1418,3.5,"Cigna HealthCare of Florida","FL","HMO/POS","Yes",3.5,3,3,"Commercial","Cigna"
"220",289,1518,3.5,"Connecticut General Life Insurance (Cigna)","FL","PPO","Yes",3,3,3,"Commercial","Connecticut General"
"221",290,1615,3.5,"Health First Health Plans","FL","HMO/POS","Yes",3,3.5,3.5,"Commercial","Other"
"222",291,1714,3,"Aetna Health (Florida)","FL","HMO/POS","Yes",2.5,2.5,3,"Commercial","Aetna"
"223",292,1813,3,"Blue Cross Blue and Shield of Florida (Florida Blue)","FL","PPO","Yes",3.5,2.5,2.5,"Commercial","Blue"
"224",293,1913,3,"Coventry Health Care of Florida","FL","HMO/POS","Yes",2.5,3,2.5,"Commercial","Coventry"
"225",294,2011,3,"Coventry Health Plan of Florida","FL","HMO","Yes",1.5,3,2.5,"Commercial","Coventry"
"226",295,2111,3,"Health Options","FL","HMO","Yes",2.5,2.5,2.5,"Commercial","Other"
"227",296,2210,3,"Humana Medical Plan - Florida","FL","HMO/POS","Yes",2,3,2.5,"Commercial","Humana"
"228",297,2310,3,"Neighborhood Health Partnership","FL","HMO/POS","Yes",2.5,2.5,2,"Commercial","Other"
"229",298,249,3,"United HealthCare Services","FL","PPO","Yes",2.5,2.5,2.5,"Commercial","United"
"230",299,258,3,"UnitedHealthcare Insurance","FL","PPO","Yes",2.5,2.5,2.5,"Commercial","United"
"231",300,268,3,"UnitedHealthcare of Florida","FL","HMO/POS","Yes",2,2.5,2,"Commercial","United"
"232",301,276,2.5,"United Healthcare Insurance","FL","PPO","Yes",2.5,1.5,2,"Commercial","United"
"233",304,925,5,"Capital Health Plan","FL","HMO","Yes",5,4.5,4,"Medicare","Other"
"234",305,1024,4.5,"Florida Health Care Plans","FL","HMO/POS","Yes",4.5,4.5,3.5,"Medicare","Other"
"235",306,1122,4.5,"Leon Medical Centers Health Plans","FL","HMO","No",5,4,4,"Medicare","Other"
"236",307,1221,4,"Aetna Health (Florida)","FL","HMO","Yes",3.5,3.5,3,"Medicare","Aetna"
"237",308,1320,4,"Aetna Life Insurance Company (Florida)","FL","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"238",309,1419,4,"Aetna Life Insurance Company (Pennsylvania)","FL","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"239",310,1519,4,"AvMed Health Plans","FL","HMO","Yes",3.5,3,3.5,"Medicare","Other"
"240",311,1616,4,"Coventry Health Plan of Florida","FL","HMO","Yes",3,3,3.5,"Medicare","Coventry"
"241",312,1715,4,"Health First Health Plans","FL","HMO/POS","Yes",4,3.5,3.5,"Medicare","Other"
