"","X1","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"87",139,3,"Contra Costa Health Plan","CA","HMO","Yes",2.5,3,2.5,"Medicaid","Other"
"88",147,3,"Inland Empire Health Plan","CA","HMO","Yes",2,3,2,"Medicaid","Other"
"89",156,3,"Local Initiative Health Authority, dba L.A. Care Health Plan","CA","HMO","Yes - Under Review by NCQA",1.5,2.5,2.5,"Medicaid","Other"
"90",166,3,"Molina Healthcare of California Partner Plan Inc.","CA","HMO","Yes",2,2.5,3,"Medicaid","Molina"
"91",176,2.5,"Care1st Health Plan Special Area: Los Angeles","CA","HMO","Yes",1.5,3,2,"Medicaid","Other"
"92",186,2.5,"Care1st Health Plan Special Area: San Diego","CA","HMO","Yes",1.5,2.5,2.5,"Medicaid","Other"
"93",196,1.5,"Santa Clara County Health Authority Special Project / Area: CA Medicaid / Santa Clara","CA","HMO","No",2.5,1,1.5,"Medicaid","Other"
"94",912,4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",2.5,4.5,4,"Commercial","Kaiser"
"95",1011,4,"HMO Colorado, Inc.","CO","HMO","Yes",2.5,4,3,"Commercial","Other"
"96",1111,3.5,"Cigna Health and Life Insurance Company - Colorado","CO","PPO","Yes",2.5,3.5,3.5,"Commercial","Cigna"
"97",1211,3.5,"Connecticut General Life Insurance Company - Colorado","CO","PPO","Yes",2.5,3.5,3.5,"Commercial","Connecticut General"
"98",1310,3.5,"Denver Health Medical Plan, Inc.","CO","HMO/POS","Yes",1.5,4,3,"Commercial","Other"
"99",148,3.5,"Rocky Mountain Healthcare Options, Inc.","CO","PPO","Yes",2.5,3,3,"Commercial","Other"
"100",157,3.5,"United Healthcare Services, Inc (Colorado)","CO","PPO","Yes",2.5,3.5,3,"Commercial","United"
"101",167,3.5,"UnitedHealthcare Insurance Company (Colorado)","CO","PPO","Yes",2.5,3.5,3,"Commercial","United"
"102",177,3,"Aetna Health Inc. (Pennsylvania) - Colorado","CO","HMO/POS","Yes",2,3,2.5,"Commercial","Aetna"
"103",187,3,"Aetna Life Insurance Company (Colorado)","CO","PPO","Yes",2.5,3,2.5,"Commercial","Aetna"
"104",197,3,"Humana Health Plan, Inc (Colorado)","CO","HMO/POS","Yes",1.5,3,3.5,"Commercial","Humana"
"105",206,3,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",2,3,3,"Commercial","Other"
"106",216,3,"Rocky Mountain Health Maintenance Organization, Inc.","CO","PPO","No",2.5,3.5,3,"Commercial","Other"
"107",225,2.5,"Rocky Mountain Hospital & Medical Services, Inc. dba Anthem Blue Cross and Blue Shield (Colorado) Special Project: Federal Employee Program","CO","PPO","No (Scheduled)",3.5,2.5,2,"Commercial","Anthem"
"108",913,4.5,"Kaiser Foundation Health Plan of Colorado CMS Contract: H0630","CO","HMO","Yes",3.5,5,4.5,"Medicare","Kaiser"
"109",1012,4,"Aetna Health Inc. (Pennsylvania) - Colorado CMS Contract: H3931","CO","HMO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"110",1112,4,"Aetna Life Insurance Company (Colorado) CMS Contract: H5521","CO","PPO","Yes",4,4,3.5,"Medicare","Aetna"
"111",1212,4,"PacifiCare of Colorado, Inc. (AZ/CO/NV) CMS Contract: H0609","CO","HMO","Yes",3.5,3.5,3,"Medicare","Other"
"112",1311,4,"UnitedHealthcare Insurance Company - Maryland (Medicare) CMS Contract: H5652","CO","HMO","No",4,4.5,4,"Medicare","United"
"113",149,3.5,"Humana Health Plan, Inc (Colorado) CMS Contract: H2649","CO","HMO","Yes",3,3.5,3,"Medicare","Humana"
"114",158,3.5,"Rocky Mountain Health Maintenance Organization, Inc. CMS Contract: H0602","CO","HMO","Yes",4,3,2.5,"Medicare","Other"
"115",168,3,"Denver Health Medical Plan, Inc. CMS Contract: H5608","CO","HMO","No (Scheduled)",2,3,3.5,"Medicare","Other"
"116",178,3,"UnitedHealthcare of Colorado, Inc. † CMS Contract: H0624","CO","HMO","No",2.5,3,3,"Medicare","United"
"117",914,3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",3,2,3,"Medicaid","Other"
"118",1013,3,"Denver Health Medical Plan, Inc. Special Project: CO Medicaid","CO","HMO","No",3,3.5,2.5,"Medicaid","Other"
"119",915,4.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut","CT","HMO/POS","Yes",4.5,4.5,4,"Commercial","Anthem"
"120",1014,4,"Aetna Health Inc. (Connecticut)","CT","HMO/POS","Yes",2.5,3.5,4,"Commercial","Aetna"
"121",1113,4,"Cigna Health and Life Insurance Company - Connecticut","CT","PPO","Yes",3.5,4,3.5,"Commercial","Cigna"
"122",1213,4,"ConnectiCare Insurance Company, Inc. (CICI)","CT","HMO/POS","Yes",3,4,4,"Commercial","Other"
"123",1312,4,"ConnectiCare, Inc.","CT","HMO/POS","Yes",3,4,4,"Commercial","Other"
"124",1410,4,"Connecticut General Life Insurance Company - Connecticut","CT","PPO","Yes",3.5,4,3.5,"Commercial","Connecticut General"
"125",159,4,"Oxford Health Plans (CT), Inc.","CT","HMO/POS","Yes",3.5,4,3,"Commercial","Other"
"126",169,3.5,"Aetna Life Insurance Company (Connecticut)","CT","PPO","Yes",2.5,3.5,3.5,"Commercial","Aetna"
"127",179,3.5,"Cigna HealthCare of Connecticut, Inc.","CT","HMO/POS","Yes",3.5,3.5,1.5,"Commercial","Cigna"
"128",189,3.5,"Oxford Health Insurance Company, Inc. - Connecticut","CT","PPO","Yes",3.5,3,3,"Commercial","Other"
"129",199,3.5,"United Healthcare Services, Inc (Connecticut)","CT","PPO","Yes",2.5,3.5,3.5,"Commercial","United"
"130",207,3.5,"UnitedHealthcare Insurance Company- Connecticut","CT","PPO","Yes",2.5,3.5,3.5,"Commercial","United"
"131",217,3,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut Special Project: Federal Employee Program","CT","PPO","No (Scheduled)",4,3,2,"Commercial","Anthem"
"132",916,4,"Aetna Health Inc. (Connecticut) CMS Contract: H5793","CT","HMO","Yes",3,3,3.5,"Medicare","Aetna"
"133",1015,4,"Aetna Life Insurance Company (Connecticut) CMS Contract: H5521","CT","PPO","Yes",4,4,3.5,"Medicare","Aetna"
"134",1114,3.5,"ConnectiCare, Inc. CMS Contract: H3528","CT","HMO/POS","No",4.5,3.5,3.5,"Medicare","Other"
"135",1214,3.5,"Oxford Health Plans (CT), Inc. CMS Contract: H0755","CT","HMO/POS","No",3.5,3,3.5,"Medicare","Other"
"136",1313,3.5,"UnitedHealthcare Insurance Company - Regional (CT, MA, RI, VT) CMS Contract: R7444","CT","PPO","Yes",3,3,3.5,"Medicare","United"
"137",1411,3,"WellCare of Connecticut, Inc. CMS Contract: H0712","CT","HMO","Yes",2.5,2,3,"Medicare","WellCare"
"138",918,4,"Aetna Health Inc. (Pennsylvania) - Delaware","DE","HMO/POS","Yes",3.5,3.5,3.5,"Commercial","Aetna"
"139",1017,4,"Highmark BCBSD Inc.","DE","HMO/POS/PPO","Yes",3.5,3.5,3.5,"Commercial","Blue"
"140",1115,3.5,"Coventry Health Care of Delaware, Inc.","DE","HMO/POS","Yes",3,2.5,3,"Commercial","Coventry"
"141",1215,3.5,"United Healthcare Services, Inc (Delaware)","DE","PPO","Yes",3,3,3,"Commercial","United"
"142",1314,3.5,"UnitedHealthcare Insurance Company (Delaware)","DE","PPO","Yes",3,3,3,"Commercial","United"
"143",1412,3,"Aetna Life Insurance Company (Delaware)","DE","PPO","Yes",3.5,2.5,2,"Commercial","Aetna"
"144",1511,3,"Cigna Health and Life Insurance Company - Delaware","DE","HMO/POS/PPO","Yes",3,3,2,"Commercial","Cigna"
"145",1611,3,"Connecticut General Life Insurance Company - Delaware","DE","HMO/POS/PPO","Yes",3,3,2,"Commercial","Connecticut General"
"146",1710,3,"Optimum Choice, Inc.","DE","HMO/POS","Yes",2,3,3,"Commercial","Other"
"147",919,4,"Aetna Health Inc. (Pennsylvania) - Delaware CMS Contract: H3931","DE","HMO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"148",1018,4,"Aetna Life Insurance Company (Delaware) CMS Contract: H5521","DE","PPO","Yes",4,4,3.5,"Medicare","Aetna"
"149",1116,3,"Cigna-HealthSpring Mid-Atlantic, Inc. CMS Contract: H2108","DE","HMO","Yes - Under Review by NCQA",1.5,3,3,"Medicare","HealthSpring"
"150",920,3.5,"Unison Health Plan of Delaware, Inc. d/b/a UnitedHealthcare Community Plan (DE)","DE","HMO","Yes",3.5,3,2.5,"Medicaid","United"
"151",1019,3,"Highmark BCBSD Health Options, Inc.","DE","HMO","No (Scheduled)",4.5,3.5,2.5,"Medicaid","Blue"
"152",921,5,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.","DC","HMO","Yes",4,4.5,4.5,"Commercial","Kaiser"
"153",1020,4,"MD - Individual Practice Association, Inc.","DC","HMO/POS","Yes",3.5,3.5,3.5,"Commercial","Other"
"154",1117,3.5,"Aetna Health Inc. (Pennsylvania) - Maryland","DC","HMO/POS","Yes",2,3,3,"Commercial","Aetna"
"155",1217,3.5,"Aetna Life Insurance Company (MD/DC)","DC","PPO","Yes",3,3.5,3.5,"Commercial","Aetna"
"156",1316,3.5,"CareFirst BlueChoice","DC","HMO/POS","Yes",2.5,3,3,"Commercial","Blue"
"157",1414,3.5,"Cigna Health and Life Insurance Company - Virginia/District of Columbia","DC","HMO/POS/PPO","Yes",2.5,3,3.5,"Commercial","Cigna"
"158",1512,3.5,"Connecticut General Life Insurance Company - Virginia/District of Columbia","DC","HMO/POS/PPO","Yes",2.5,3,3.5,"Commercial","Connecticut General"
"159",1612,3.5,"Group Hospitalization and Medical Services, Inc. (GHMSI)","DC","PPO","Yes",3,3.5,3,"Commercial","Other"
"160",1711,3.5,"Group Hospitalization and Medical Services, Inc. (GHMSI)","DC","HMO/POS","Yes",2.5,3,3,"Commercial","Other"
"161",1811,3.5,"UnitedHealthcare of the Mid-Atlantic, Inc.","DC","HMO/POS","Yes",2,3.5,3,"Commercial","United"
"162",1910,3,"Optimum Choice, Inc.","DC","HMO/POS","Yes",2,3,3,"Commercial","Other"
"163",208,3,"United Healthcare Services, Inc (District of Columbia)","DC","PPO","Yes",2.5,3,2.5,"Commercial","United"
"164",218,3,"UnitedHealthcare Insurance Company (Washington, DC)","DC","PPO","Yes",2.5,3,2.5,"Commercial","United"
"165",922,4.5,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc. CMS Contract: H2150","DC","HMO","Yes",3.5,5,4.5,"Medicare","Kaiser"
"166",1021,4,"Aetna Health Inc. (Pennsylvania) - Maryland CMS Contract: H3931","DC","HMO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"167",1118,4,"Aetna Life Insurance Company (MD/DC) CMS Contract: H5521","DC","PPO","Yes",4,4,3.5,"Medicare","Aetna"
"168",1218,3,"Cigna-HealthSpring Mid-Atlantic, Inc. CMS Contract: H2108","DC","HMO","Yes - Under Review by NCQA",1.5,3,3,"Medicare","HealthSpring"
"169",923,3.5,"AmeriHealth Caritas District of Columbia, Inc.","DC","HMO","Yes",3,3.5,3,"Medicaid","Other"
"170",1022,2.5,"Trusted Health Plan (District of Columbia), Inc.","DC","HMO","Yes",2,2.5,2,"Medicaid","Other"
"171",924,5,"Capital Health Plan, Inc.","FL","HMO","Yes",4.5,4.5,4,"Commercial","Other"
"172",1023,4,"Florida Health Care Plan, Inc.","FL","HMO/POS","Yes",4,3,3.5,"Commercial","Other"
"173",1120,4,"Health First Commercial Plans, Inc.","FL","HMO/POS","Yes",3.5,3,3.5,"Commercial","Other"
"174",1219,3.5,"Aetna Life Insurance Company (Florida)","FL","PPO","Yes",3.5,2.5,2.5,"Commercial","Aetna"
"175",1318,3.5,"AvMed, Inc. d/b/a AvMed Health Plans","FL","HMO/POS","Yes",3.5,3,2.5,"Commercial","Other"
"176",1416,3.5,"Blue Cross And Blue Shield of Florida, Inc.","FL","PPO","Yes",4.5,2.5,2.5,"Commercial","Blue"
"177",1514,3.5,"Cigna Health and Life Insurance Company - Florida","FL","PPO","Yes",3,3,2.5,"Commercial","Cigna"
"178",1613,3.5,"Cigna HealthCare of Florida, Inc.","FL","HMO/POS","Yes",3,3,3.5,"Commercial","Cigna"
"179",1712,3.5,"Connecticut General Life Insurance Company - Florida","FL","PPO","Yes",3,3,2.5,"Commercial","Connecticut General"
"180",1812,3.5,"United Healthcare Services, Inc (Florida)","FL","PPO","Yes",3.5,3,2.5,"Commercial","United"
"181",1911,3.5,"UnitedHealthcare Insurance Company (Florida)","FL","PPO","Yes",3.5,3,2.5,"Commercial","United"
"182",209,3,"Aetna Health Inc. (Florida)","FL","HMO/POS","Yes",2.5,2.5,2.5,"Commercial","Aetna"
"183",219,3,"Aetna Health Inc. dba Coventry Health Plan of Florida, Inc. (CoventryOne)","FL","HMO","Yes",1.5,2.5,2.5,"Commercial","Coventry"
"184",228,3,"Coventry Health Care of Florida, Inc.","FL","HMO/POS","Yes",3,2.5,2.5,"Commercial","Coventry"
"185",236,3,"Health Options Inc.","FL","HMO","Yes",3,3,2.5,"Commercial","Other"
"186",246,3,"Humana Medical Plan, Inc. - Florida","FL","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"187",255,3,"Neighborhood Health Partnership, Inc.","FL","HMO/POS","Yes",3,3,2.5,"Commercial","Other"
"188",264,3,"UnitedHealthcare of Florida, Inc.","FL","HMO/POS","Yes",3,2.5,2.5,"Commercial","United"
"189",925,4.5,"Capital Health Plan, Inc. CMS Contract: H5938","FL","HMO","Yes",4.5,4,4,"Medicare","Other"
"190",1024,4.5,"Florida Health Care Plan, Inc. CMS Contract: H1035","FL","HMO/POS","Yes",4.5,4.5,4,"Medicare","Other"
"191",1121,4.5,"Leon Medical Centers Health Plans CMS Contract: H5410","FL","HMO","No",4.5,4,4.5,"Medicare","Other"
"192",1220,4,"Aetna Life Insurance Company (Florida) CMS Contract: H5521","FL","PPO","Yes",4,4,3.5,"Medicare","Aetna"
"193",1319,4,"AvMed, Inc. d/b/a AvMed Health Plans CMS Contract: H1016","FL","HMO","Yes",3,3.5,3.5,"Medicare","Other"
"194",1417,4,"Health First Health Plans, Inc. CMS Contract: H1099","FL","HMO/POS","Yes",4,4,3.5,"Medicare","Other"
"195",1515,4,"Humana Medical Plan, Inc. - Florida CMS Contract: H1036","FL","HMO","Yes",3,4,3.5,"Medicare","Humana"
"196",1614,4,"Medica Healthcare Plans Inc. CMS Contract: H5420","FL","HMO/POS","Yes",4.5,3,3.5,"Medicare","Medica "
"197",1713,4,"Preferred Care Partners, Inc. CMS Contract: H1045","FL","HMO/POS","Yes",3.5,3,3.5,"Medicare","Other"
"198",1813,4,"Ultimate Health Plans, Inc. CMS Contract: H2962","FL","HMO","Yes - Under Review by NCQA",3.5,4,3.5,"Medicare","Other"
"199",1912,3.5,"Aetna Health Inc. (Florida) CMS Contract: H5414","FL","HMO","Yes",3,3,3,"Medicare","Aetna"
"200",2010,3.5,"Blue Cross And Blue Shield of Florida, Inc. CMS Contract: H5434","FL","PPO","No",3.5,4,3,"Medicare","Blue"
"201",2110,3.5,"CarePlus Health Plans, Inc. CMS Contract: H1019","FL","HMO","No",3.5,4,4,"Medicare","Other"
"202",229,3.5,"Freedom Health Inc. CMS Contract: H5427","FL","HMO","Yes",2,3.5,3.5,"Medicare","Other"
"203",237,3.5,"Health Options Inc. CMS Contract: H1026","FL","HMO","Yes",3,2.5,3,"Medicare","Other"
"204",247,3.5,"HealthSun Health Plans, Inc. CMS Contract: H5431","FL","HMO","No",4,3,3.5,"Medicare","Other"
"205",256,3.5,"Humana Health Insurance Company of Florida, Inc. CMS Contract: H5415","FL","PPO","No",4,3.5,3.5,"Medicare","Humana"
"206",265,3.5,"Optimum HealthCare, Inc. CMS Contract: H5594","FL","HMO","Yes",2.5,3.5,3.5,"Medicare","Other"
"207",275,3.5,"Simply Healthcare Plans, Inc. CMS Contract: H5471","FL","HMO","No",4,3,3.5,"Medicare","Other"
"208",284,3.5,"UnitedHealthCare Insurance Company (Regional FL) CMS Contract: R5287","FL","PPO","Yes",2.5,3,3,"Medicare","United"
"209",926,4,"Coventry Health Care of Florida, Inc.","FL","HMO","Yes",4.5,3.5,3.5,"Medicaid","Coventry"
"210",1025,3.5,"AMERIGROUP Florida, Inc.","FL","HMO","No (In process)",4,3.5,3.5,"Medicaid","Other"
"211",1122,3.5,"Humana Medical Plan, Inc. - Florida","FL","HMO","Yes",3,3,3,"Medicaid","Humana"
"212",1221,3.5,"WellCare of Florida, Inc. Special Area: Florida","FL","HMO","Yes",2.5,3,3,"Medicaid","WellCare"
"213",1320,3,"Better Health, Inc. Special Project / Area: Managed Medical Assistance / Region 6 and 10","FL","HMO","No",4,3,2.5,"Medicaid","Other"
