year,state,total_residents,per_pop_age0-18,per_pop_age19-25,per_pop_age26-34,per_pop_age35-54,per_pop_age55-64,per_pop_age65,per_citizen,per_noncitizen,percent_male,percent_female,per_white,per_black,per_hispanic,per_asian,per_native,per_pacific,per_two_or_more_races,per_fpv<100,per_fpv100-199,per_fpv200-399,per_fpv>400,med_house_income,unemployment_rate,avg_monthly_SNAP_participants,expend_per_cap,forclosure_rate,per_change_mon_umployment,per_change_mon_SNAP,economic_distress_rank,any_mental_illness,serious_mental_illness,cancer_death_rate,death_rate,cvs_death_rate,firearm_death_rate,opioid_od_death_rate,all_drug_od_death_rate,flu_pna_death,percent_smoke_2017,reported_poor_health_2017,expansion,total_medicaid_enrol,expansion_enroll,expansion_group_newly_eligible,hosp_expense_inpatient_day,hosp_rate_gov_hosp,hosp_rate_nonprofit_hosp,hosp_rate_forprofit_hosp,hosp_rate_total,2013_uninsured,2016_uninsured,2013_2016_change_uninsured,herfindahl_hirschman_Index,market_share_largest_insure,no_insure_>5%_mark_share,gross_margins_per_member,total_pc_hpsa,pop_hpsa,percent_needs_met,no_practitioners_needed,percent_hdhp,state_quality_rank.x,state_quality_value.x,avg_fam_prem_employee_cont.x,avg_fam_prem_employer_cont.x,avg_fam_prem_total.x,avg_fam_prem_employee_cont.y,avg_fam_prem_employer_cont.y,avg_fam_prem_total.y,avg_sing_prem_employee_cont,avg_sing_prem_employer_cont,avg_sing_prem_total,hc_exp_per_cap_2014,avg_bench_mktplace_prem,per_pot_mkt_pop_enrol,no_insur_provid,insur_spend_per_cap_2014,not_hav_pcp_2017,state_quality_rank.y,state_quality_value.y
2016,Hawaii,1392400,0.23,0.09,0.13,0.24,0.14,0.17,0.9,0.10,0.49,0.51,0.19,0.02,0.1,0.39,NA,0.17,0.14,0.0931,0.1495,0.2923,0.4651,72133,0.03,176729,9685,2222,-0.048,-0.05,39,0.147,0.03,128.7,572,127,4.5,5.2,12.8,24.4,0.128,0.148,1,328400,115400,33900,2411.57,69,423,NA,492,0.096,0.046,-0.05,5148,0.6,2,-78,26,184449,0.6981,17,0.112,1,0.905,4713,13799,2016,4713,13799,2016,675,5364,6039,7299,262,0.26,2,4222,0.168,1,0.905
2016,Idaho,1679000,0.28,0.09,0.11,0.24,0.13,0.15,0.96,0.04,0.5,0.5,0.82,0.01,0.13,0.02,NA,NA,0.01,0.1111,0.1985,0.3512,0.3393,56564,0.038,185303,4358,2000,-0.042,-0.075,41,0.21,0.048,150.9,725,160,14.6,7.4,15.2,11.3,0.143,0.151,0,311400,NA,NA,2707.92,89,215,85,389,0.232,0.152,-0.08,3369,0.49,4,-14,103,531793,0.4836,88,0.516,15,0.356,4275,12893,2016,4275,12893,2016,877,4981,5858,6927,284,0.51,5,3560,0.252,15,0.356
2016,Illinois,12607400,0.24,0.1,0.12,0.26,0.13,0.15,0.93,0.07,0.49,0.51,0.61,0.14,0.17,0.06,NA,NA,0.01,0.1223,0.1478,0.2744,0.4555,61386,0.058,1914393,4245,703,-0.053,-0.037,17,0.155,0.037,163.5,724.3,165.7,11.7,15.3,18.9,14.5,0.155,0.179,1,2944000,690400,662200,2431.11,24,472,41,538,0.183,0.093,-0.09,4529,0.66,4,-8,234,3847031,0.5743,527,0.489,26,0.084,4557,15099,2016,4557,15099,2016,1382,5111,6493,8262,255,0.4,7,4875,0.181,26,0.084
2016,Indiana,6503200,0.26,0.09,0.12,0.25,0.13,0.15,0.97,0.03,0.49,0.51,0.81,0.09,0.06,0.02,NA,NA,0.02,0.1196,0.1747,0.3213,0.3845,56094,0.043,741610,4735,1213,-0.015,-0.112,31,0.195,0.048,172.5,835,180.6,15,12.6,24,12.6,0.218,0.206,1,1314600,412700,265800,2357.27,70,386,72,528,0.193,0.108,-0.085,2302,0.33,5,36,159,3259892,0.7837,234,0.596,39,-0.372,4547,13706,2016,4547,13706,2016,1460,4702,6162,8300,282,0.35,7,4078,0.192,39,-0.372
2016,Iowa,3106200,0.24,0.1,0.13,0.23,0.14,0.16,0.97,0.03,0.5,0.5,0.86,0.03,0.06,0.02,NA,NA,0.02,0.0996,0.1616,0.3163,0.4224,59094,0.036,380705,7367,1453,0.168,-0.015,3,0.174,0.039,159.8,721.1,162.8,9.2,6.2,10.6,11.6,0.171,0.154,1,594900,150000,139300,1517.18,185,422,7,615,0.124,0.058,-0.066,5020,0.66,3,16,132,726989,0.6221,98,0.588,17,0.343,4262,12824,2016,4262,12824,2016,1357,4771,6128,8200,300,0.2,4,4076,0.174,17,0.343
2016,Kansas,2865000,0.27,0.09,0.12,0.24,0.14,0.15,0.96,0.04,0.5,0.5,0.74,0.06,0.14,0.02,NA,NA,0.03,0.114,0.1749,0.3299,0.3812,56810,0.043,253833,5202,2506,0.08,-0.079,35,0.177,0.042,158.6,756.8,159.2,13.4,5.1,11.1,14.4,0.174,0.167,0,407900,NA,NA,1632.44,240,287,134,660,0.173,0.118,-0.055,3822,0.56,4,-11,169,802087,0.5131,134,0.532,27,-0.012,4848,13381,2016,4848,13381,2016,1219,4888,6107,7651,264,0.31,3,4855,0.224,27,-0.012
2016,Kentucky,4388200,0.25,0.1,0.11,0.26,0.13,0.16,0.97,0.03,0.49,0.51,0.84,0.08,0.05,NA,NA,NA,NA,0.15310000000000001,0.2169,0.3009,0.3291,45369,0.05,666264,7370,2468,-0.053,-0.116,48,0.215,0.051,193.8,938.4,203,17.5,23.6,33.5,17.3,0.246,0.255,1,1316300,462000,462000,1853.01,93,523,72,689,0.209,0.071,-0.138,5957,0.76,3,19,167,1117446,0.6101,147,0.645,45,-0.651,4764,12184,2016,4764,12184,2016,1453,4648,6101,8004,261,0.3,7,4551,0.177,45,-0.651
2016,Louisiana,4578500,0.26,0.1,0.12,0.25,0.13,0.14,0.98,0.02,0.48,0.52,0.59,0.32,0.05,0.02,NA,NA,0.02,0.2028,0.1999,0.2761,0.3213,42196,0.061,927168,5924,1859,0.061,0.235,5,0.168,0.044,171.9,870.5,213.1,21.3,7.7,21.8,14.3,0.231,0.229,1,1571900,324100,324100,1900.41,114,427,103,644,0.246,0.153,-0.093,4193,0.61,4,45,144,2719568,0.6819,283,0.458,49,-1.043,5977,11423,2016,5977,11423,2016,1465,4561,6026,7815,353,0.38,4,4420,0.217,49,-1.043
2016,Maine,1321600,0.21,0.08,0.1,0.28,0.15,0.19,0.99,NA,0.49,0.51,0.92,0.01,0.02,NA,NA,NA,0.03,0.1298,0.1818,0.2972,0.3912,50856,0.04,189245,6038,2175,-0.007,-0.061,35,0.174,0.043,168.9,759,149.5,8.3,25.2,28.7,12,0.173,0.161,0,274500,NA,NA,2261.72,11,610,18,639,0.16,0.112,-0.048,4571,0.62,3,-9,68,85030,0.4233,16,0.671,22,0.192,4825,12597,2016,4825,12597,2016,1311,4821,6132,9531,335,0.58,3,5015,0.128,22,0.192
2016,Maryland,5932800,0.24,0.09,0.13,0.26,0.13,0.15,0.93,0.07,0.48,0.52,0.53,0.29,0.11,0.05,NA,NA,0.02,0.072,0.1546,0.2587,0.5148,73760,0.042,744343,6778,675,-0.154,-0.073,34,0.162,0.033,156.5,717.6,164.3,11.9,29.7,33.2,15.1,0.138,0.154,1,1160800,277000,277000,2694.3,NA,498,2,500,0.139,0.083,-0.057,6406,0.79,2,1,60,1178084,0.4715,231,0.483,18,0.322,6048,12867,2016,6048,12867,2016,1711,4866,6577,8602,254,0.34,5,4343,0.168,18,0.322
2016,Massachusetts,6779600,0.22,0.1,0.14,0.26,0.14,0.15,0.9,0.10,0.49,0.51,0.72,0.07,0.12,0.07,NA,NA,0.01,0.0963,0.1244,0.2454,0.5339,72266,0.033,779192,8997,1403,-0.321,-0.015,29,0.19,0.043,150.2,669,134.8,3.4,29.7,33,14.1,0.137,0.152,1,1853800,398300,0,2955.25,14,488,92,594,0.054,0.035,-0.018,2217,0.36,5,-17,68,539073,0.3866,113,0.43,2,0.76,5571,15482,2016,5571,15482,2016,1747,5284,7031,10559,257,0.59,10,5302,0.134,2,0.76
2016,Michigan,9893200,0.23,0.09,0.12,0.26,0.14,0.16,0.96,0.04,0.49,0.51,0.75,0.14,0.05,0.03,NA,NA,0.02,0.1121,0.1599,0.3134,0.4145,57091,0.05,1473614,5481,1698,-0.058,-0.065,43,0.171,0.044,166.4,785.4,200.6,12.3,18.5,24.4,13.7,0.193,0.184,1,2321200,636800,592800,2245.07,19,507,59,584,0.161,0.075,-0.086,3370,0.52,5,44,361,2193779,0.5587,320,0.51,34,-0.251,3646,15283,2016,3646,15283,2016,1385,5003,6388,8055,260,0.43,11,3950,0.152,34,-0.251
2016,Minnesota,5436600,0.25,0.08,0.11,0.27,0.13,0.16,0.96,0.04,0.49,0.51,0.8,0.06,0.06,0.04,NA,NA,0.02,0.0877,0.1168,0.3022,0.4934,70218,0.04,478783,6666,2550,0.075,-0.039,24,0.179,0.042,148.6,648.1,114.9,7.6,7.4,12.5,7.8,0.145,0.127,1,1246000,222900,222300,2207.59,88,513,NA,601,0.108,0.057,-0.051,3228,0.45,4,-45,128,464373,0.4765,78,0.659,4,0.727,4998,13509,2016,4998,13509,2016,1362,4906,6268,8871,260,0.22,4,4603,0.253,4,0.727
2016,Mississippi,2948100,0.26,0.1,0.11,0.26,0.13,0.15,0.99,0.01,0.48,0.52,0.58,0.37,0.03,NA,NA,NA,0.01,0.2126,0.2091,0.2852,0.2931,41099,0.057,582658,6614,2741,-0.102,-0.117,51,0.17,0.038,187.7,948.9,233.1,19.9,6.2,12.1,23.4,0.222,0.253,0,729700,NA,NA,1176.14,384,310,124,819,0.248,0.177,-0.071,2937,0.43,4,42,117,1747991,0.4116,344,0.511,50,-1.123,5137,12206,2016,5137,12206,2016,1309,4569,5878,7646,279,0.26,3,4045,0.235,50,-1.123
2016,Missouri,5888700,0.25,0.09,0.12,0.25,0.12,0.17,0.97,0.03,0.48,0.52,0.79,0.11,0.04,0.02,NA,NA,0.03,0.1313,0.1731,0.3166,0.3791,55016,0.047,810690,4042,1923,0.126,-0.08,26,0.176,0.041,167,808.2,192.1,19,15.9,23.6,15.1,0.208,0.19,0,983600,NA,NA,2262.21,84,498,89,671,0.183,0.127,-0.056,1984,0.27,5,48,250,2314257,0.1699,622,0.648,37,-0.338,4654,14109,2016,4654,14109,2016,1318,5036,6354,8107,314,0.43,6,4354,0.238,37,-0.338
2016,Montana,1035500,0.23,0.08,0.12,0.24,0.14,0.19,0.99,0.01,0.5,0.5,0.89,0.01,0.03,0.01,NA,NA,0.03,0.121,0.1787,0.3132,0.387,57075,0.041,116626,6124,4475,0.033,0.037,19,0.201,0.053,145.9,743.2,154.4,18.9,4.2,11.7,11.1,0.172,0.16,1,213100,58100,58100,1509.39,38,670,41,749,0.231,0.121,-0.11,5409,0.7,3,-21,122,330385,0.3837,63,0.609,23,0.178,4845,13087,2016,4845,13087,2016,1122,5641,6763,8221,322,0.48,3,3882,0.286,23,0.178
2016,Nebraska,1876100,0.27,0.1,0.12,0.24,0.1,0.16,0.94,0.06,0.49,0.51,0.78,0.04,0.13,0.03,NA,<.01,0.02,0.0984,0.1592,0.3343,0.408,59374,0.033,175851,6088,2261,0.101,0.006,12,0.18,0.04,153.6,707,140.3,9.1,2.4,6.4,14.3,0.154,0.149,0,238900,NA,NA,1883.36,87,572,12,672,0.15,0.121,-0.028,3516,0.48,3,-18,111,28024,0.5602,6,0.593,12,0.432,4854,13345,2016,4854,13345,2016,1351,4954,6305,8412,332,0.36,4,4536,0.199,12,0.432
2016,Nevada,2943200,0.25,0.09,0.13,0.25,0.13,0.16,0.92,0.08,0.5,0.5,0.52,0.09,0.27,0.08,NA,NA,0.03,0.1021,0.1967,0.362,0.3392,55431,0.054,439782,4394,821,-0.148,0.012,19,0.179,0.041,157.3,762.6,205.9,16.8,13.3,21.7,18.1,0.176,0.203,1,597400,203900,203900,1895.32,66,138,319,524,0.271,0.153,-0.117,4272,0.58,3,29,90,1235504,0.5123,205,0.488,35,-0.304,5529,11692,2016,5529,11692,2016,1255,4501,5756,6714,286,0.36,3,3417,0.338,35,-0.304
2016,New Hampshire,1318100,0.21,0.09,0.11,0.25,0.16,0.17,0.97,0.03,0.49,0.51,0.92,0.01,0.03,0.02,NA,NA,0.02,0.0653,0.1197,0.2791,0.5359,76260,0.028,98464,4371,2270,-0.11,-0.077,48,0.19,0.049,164.1,721.5,151.1,9.3,35.8,39,11.8,0.157,0.139,1,192100,53900,53700,2431.08,NA,412,78,490,0.157,0.09,-0.067,2581,0.39,4,25,32,117263,0.5669,19,0.756,6,0.696,5578,13652,2016,5578,13652,2016,1649,5021,6670,9589,262,0.5,5,4880,0.129,6,0.696
2016,New Jersey,8851500,0.23,0.09,0.11,0.27,0.14,0.16,0.9,0.10,0.49,0.51,0.58,0.13,0.18,0.11,NA,NA,NA,0.0953,0.1497,0.2467,0.5083,68468,0.049,879987,6321,563,0.046,-0.046,6,0.153,0.035,149.7,668.5,164.7,5.5,16,23.2,10.7,0.137,0.184,1,1703200,562800,562800,2694.32,11,480,52,543,0.189,0.11,-0.08,4100,0.6,4,39,35,28823,0.549,13,0.407,9,0.571,5431,15238,2016,5431,15238,2016,1595,5479,7074,8859,332,0.44,5,5081,0.208,9,0.571
2016,New Mexico,2045000,0.26,0.1,0.11,0.24,0.14,0.15,0.94,0.06,0.49,0.51,0.37,0.02,0.46,NA,NA,NA,0.01,0.1786,0.2318,0.2817,0.3079,48451,0.068,471247,8690,1173,0.04,0.047,2,0.187,0.043,138.8,753.4,150.6,18.1,17.5,25.2,14.6,0.175,0.214,1,881200,253400,253400,2634.68,83,175,152,410,0.277,0.126,-0.151,3021,0.35,3,-9,104,1048498,0.23,261,0.478,38,-0.363,5255,13483,2016,5255,13483,2016,1335,4940,6275,7214,212,0.36,4,4155,0.285,38,-0.363
2016,New York,19482300,0.23,0.09,0.14,0.26,0.12,0.17,0.91,0.09,0.48,0.52,0.57,0.14,0.18,0.09,<.01,NA,0.01,0.12,0.165,0.2809,0.4341,61437,0.049,2968227,7633,1471,0.032,-0.015,10,0.173,0.04,147.5,640.7,177.8,4.4,15.1,18,18.3,0.141,0.173,1,6317200,2070800,285600,2559.38,133,639,NA,772,0.153,0.085,-0.068,993,0.14,8,-1,197,5821682,0.4181,1205,0.451,13,0.43,5878,15439,2016,5878,15439,2016,1568,5741,7309,9778,393,0.22,15,5338,0.172,13,0.43
2016,North Carolina,10068300,0.24,0.1,0.12,0.25,0.13,0.16,0.95,0.05,0.48,0.52,0.61,0.21,0.1,0.03,NA,NA,0.02,0.1366,0.1713,0.3271,0.3649,53764,0.051,1568387,4380,1168,-0.117,-0.101,44,0.183,0.046,161.6,782.4,155.8,13.7,15.4,19.7,16.5,0.172,0.191,0,2027900,NA,NA,1919.19,156,348,35,539,0.224,0.151,-0.073,4386,0.6,3,73,159,1902580,0.4722,322,0.606,32,-0.194,5833,12268,2016,5833,12268,2016,1391,4957,6348,7264,389,0.54,3,3859,0.212,32,-0.194
2016,North Dakota,749500,0.25,0.1,0.15,0.23,0.13,0.15,0.97,0.03,0.51,0.49,0.85,0.03,0.04,NA,0.04,NA,0.03,0.1112,0.1368,0.3431,0.4089,60184,0.031,54252,9841,14760,0.151,0.031,15,0.167,0.04,142.7,688.4,140.9,11.9,7.6,10.6,14.5,0.183,0.153,1,93600,21400,20400,1997.97,NA,908,17,925,0.134,0.089,-0.044,5857,0.74,3,27,80,196600,0.3584,38,0.457,11,0.473,4684,13202,2016,4684,13202,2016,1182,5159,6341,9851,330,0.26,3,4410,0.291,11,0.473
2016,Ohio,11468700,0.24,0.09,0.12,0.25,0.14,0.16,0.98,0.02,0.49,0.51,0.78,0.12,0.04,0.02,NA,NA,0.03,0.1395,0.162,0.2937,0.4048,53985,0.05,1608633,5808,928,0.055,-0.038,7,0.193,0.05,173.4,832.3,185.1,12.9,32.9,39.1,15,0.211,0.189,1,3158600,710500,652300,2703.9,59,520,38,617,0.158,0.077,-0.081,1960,0.35,4,28,150,1396882,0.5524,208,0.598,40,-0.391,4243,13942,2016,4243,13942,2016,1388,4859,6247,8712,268,0.3,14,4371,0.188,40,-0.391
2016,Oklahoma,3921100,0.26,0.08,0.14,0.25,0.12,0.15,0.95,0.05,0.5,0.5,0.64,0.07,0.12,NA,0.08,NA,0.06,0.1483,0.1897,0.3243,0.3376,50943,0.05,612869,5790,2166,0.232,0.019,7,0.184,0.045,177.8,888.4,228.2,19.6,11.6,21.5,12.4,0.201,0.216,0,703300,NA,NA,1794.92,95,283,185,562,0.244,0.198,-0.046,8049,0.89,2,5,186,1312316,0.565,201,0.454,46,-0.691,5808,12444,2016,5808,12444,2016,1383,4853,6236,7627,306,0.31,2,3878,0.248,46,-0.691
2016,Oregon,4130200,0.23,0.08,0.11,0.28,0.13,0.17,0.93,0.07,0.5,0.5,0.75,0.02,0.14,0.04,NA,NA,0.04,0.1193,0.1888,0.295,0.3969,59135,0.049,734864,9104,1644,-0.007,-0.065,31,0.221,0.051,155.9,705.9,135,11.9,7.6,11.9,8.9,0.161,0.176,1,1104000,556700,481300,3536.98,54,304,11,368,0.214,0.087,-0.127,2723,0.44,5,-19,127,1072476,0.5446,165,0.537,21,0.211,5009,12944,2016,5009,12944,2016,1023,5058,6081,8044,274,0.46,10,4232,0.234,21,0.211
2016,Pennsylvania,12557900,0.23,0.09,0.12,0.24,0.14,0.18,0.97,0.03,0.49,0.51,0.76,0.11,0.07,0.04,NA,NA,0.02,0.1137,0.1432,0.3089,0.4342,60979,0.055,1863836,5973,1015,0.223,0.001,1,0.184,0.041,164.7,770.1,176.2,12,18.5,37.9,13.9,0.187,0.186,1,2799300,751000,707900,2331.99,0,584,85,670,0.136,0.077,-0.059,1897,0.29,7,-7,166,727671,0.5605,134,0.494,28,-0.016,5377,13212,2016,5377,13212,2016,1543,4979,6522,9258,260,0.46,7,4634,0.145,28,-0.016
2016,Rhode Island,1054300,0.21,0.09,0.12,0.27,0.15,0.17,0.93,0.07,0.49,0.51,0.72,0.06,0.16,0.04,NA,NA,NA,0.1157,0.143,0.287,0.4543,61528,0.053,171055,8166,1595,-0.003,-0.025,18,0.189,0.041,158,690.1,152.4,4.1,26.7,30.8,11,0.149,0.172,1,286500,61500,61500,2814.2,NA,495,29,524,0.165,0.059,-0.106,4913,0.61,2,72,14,161671,0.6697,20,0.536,14,0.422,5374,13013,2016,5374,13013,2016,1707,5341,7048,9551,263,0.41,3,4620,0.122,14,0.422
2016,South Carolina,4908400,0.24,0.08,0.11,0.26,0.14,0.17,0.97,0.03,0.48,0.52,0.65,0.26,0.05,0.02,NA,NA,NA,0.1427,0.1801,0.304,0.3732,54336,0.045,805012,4626,795,-0.128,-0.06,29,0.175,0.039,167.7,829.8,173.8,17.7,13.1,18.1,12,0.188,0.193,0,1214300,NA,NA,1941.32,144,270,151,565,0.226,0.147,-0.079,8149,0.9,2,26,103,2230932,0.6948,232,0.559,42,-0.532,5261,12980,2016,5261,12980,2016,1339,4740,6079,7311,301,0.44,3,4235,0.226,42,-0.532
2016,South Dakota,855400,0.27,0.09,0.11,0.22,0.13,0.18,0.99,0.01,0.5,0.5,0.82,0.02,0.05,NA,NA,<.01,0.02,0.1449,0.1605,0.3037,0.3909,57450,0.029,95983,4821,4876,-0.053,-0.022,37,0.173,0.04,156.7,719.5,153.4,13.4,5,8.4,16.7,0.193,0.143,0,109100,NA,NA,1333.03,56,1061,32,1150,0.173,0.12,-0.054,3608,0.48,3,6,94,258414,0.4382,45,0.726,24,0.169,5702,11993,2016,5702,11993,2016,1442,5091,6533,8933,329,0.24,2,4335,0.242,24,0.169
2016,Tennessee,6674100,0.23,0.09,0.13,0.25,0.14,0.16,0.96,0.04,0.49,0.51,0.73,0.17,0.06,0.02,NA,NA,0.02,0.1514,0.1871,0.2972,0.3643,51344,0.049,1113231,4801,1398,-0.114,-0.089,45,0.191,0.049,179.9,886.3,198.8,17.1,18.1,24.5,20.1,0.226,0.213,0,1728300,NA,NA,1809.7,112,378,186,676,0.202,0.135,-0.067,3903,0.58,4,2,139,2448935,0.7021,245,0.664,44,-0.626,5223,12126,2016,5223,12126,2016,1431,4575,6006,7372,287,0.37,4,4680,0.226,44,-0.626
