"","x","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"106",179,3,"Care1st Health Plan Special Area: San Diego","CA","HMO","Yes",2,3,2.5,"Medicaid","Other"
"107",186,2.5,"San Joaquin County Health Commission dba Health Plan of San Joaquin","CA","HMO","Yes",2,2.5,1.5,"Medicaid","Other"
"108",196,2,"Care1st Health Plan Special Area: Los Angeles","CA","HMO","Yes",1.5,2.5,1.5,"Medicaid","Other"
"109",912,4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",2.5,4.5,4,"Commercial","Kaiser"
"110",1012,4,"Rocky Mountain Health Maintenance Organization, Inc.","CO","PPO","Yes",3,4,4,"Commercial","Other"
"111",1112,4,"United HealthCare Services, Inc. (Colorado)","CO","PPO","Yes",2.5,3.5,3.5,"Commercial","United"
"112",1211,4,"UnitedHealthcare Insurance Company (Colorado)","CO","PPO","Yes",2.5,3.5,3.5,"Commercial","United"
"113",1310,3.5,"Aetna Life Insurance Company (Colorado)","CO","PPO/EPO","Yes",2.5,3,3,"Commercial","Aetna"
"114",1410,3.5,"Cigna Health and Life Insurance Company - Colorado","CO","PPO","Yes",2.5,3.5,3.5,"Commercial","Cigna"
"115",1510,3.5,"Denver Health Medical Plan, Inc.","CO","HMO/POS","Yes",2.5,4.5,3,"Commercial","Other"
"116",1610,3.5,"HMO Colorado, Inc.","CO","HMO","Yes",3,4,3,"Commercial","Other"
"117",1710,3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",2,3,3,"Commercial","Other"
"118",187,3.5,"Rocky Mountain Hospital and Medical Services, Inc. dba Anthem Blue Cross and Blue Shield (Colorado) Special Project: Federal Employee Program","CO","PPO","Yes",3.5,3,2.5,"Commercial","Anthem"
"119",197,3,"Humana Health Plan, Inc. (Colorado)","CO","HMO/POS","Yes",1,3,3,"Commercial","Humana"
"120",207,3,"UnitedHealthcare of Colorado, Inc.","CO","HMO","Yes",1.5,2.5,3,"Commercial","United"
"121",216,1.5,"American Postal Workers Union Health Plan","CO","PPO","No",4,0.5,1.5,"Commercial","Other"
"122",913,5,"Kaiser Foundation Health Plan of Colorado CMS Contract: H0630","CO","HMO","Yes",3.5,5,4.5,"Medicare","Kaiser"
"123",1013,4,"Aetna Health Inc. (Pennsylvania) - Colorado CMS Contract: H3931","CO","HMO","Yes",3.5,3,3.5,"Medicare","Aetna"
"124",1113,4,"Aetna Life Insurance Company (Colorado) CMS Contract: H5521","CO","PPO","Yes",3.5,4,3.5,"Medicare","Aetna"
"125",1212,4,"PacifiCare of Colorado, Inc. (AZ/CO/NV) CMS Contract: H0609","CO","HMO","Yes",3,3.5,3.5,"Medicare","Other"
"126",1311,4,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H5652","CO","HMO/POS","No",3.5,4.5,4,"Medicare","Other"
"127",1411,4,"Sierra Health and Life Insurance Company, Inc. (CO,MT,ND,SD,UT,WY) CMS Contract: H2001","CO","PPO","Yes",4,5,3.5,"Medicare","Other"
"128",1511,3.5,"Denver Health Medical Plan, Inc. CMS Contract: H5608","CO","HMO","Yes",2.5,3.5,3,"Medicare","Other"
"129",1611,3.5,"Humana Health Plan, Inc. (Colorado) CMS Contract: H2649","CO","HMO","Yes",2.5,3,3,"Medicare","Humana"
"130",1711,3.5,"Rocky Mountain Health Maintenance Organization, Inc. CMS Contract: H0602","CO","HMO","Yes",3.5,3.5,3,"Medicare","Other"
"131",188,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","CO","PPO","No",3.5,4,3.5,"Medicare","Other"
"132",198,3.5,"UnitedHealthcare Insurance Company(CO,UT) CMS Contract: H2228","CO","PPO","Yes",3,3.5,3,"Medicare","United"
"133",208,3,"UnitedHealthcare of Colorado, Inc. † CMS Contract: H0624","CO","HMO","No",2,3,3,"Medicare","United"
"134",914,3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",3,3,3.5,"Medicaid","Other"
"135",1014,2.5,"Denver Health Medical Plan, Inc. Special Project: CO Medicaid","CO","HMO","No",4,3,2,"Medicaid","Other"
"136",915,4.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut","CT","HMO/POS","Yes",4,4,3.5,"Commercial","Anthem"
"137",1015,4,"Cigna Health and Life Insurance Company - Connecticut","CT","PPO","Yes",3,4,3.5,"Commercial","Cigna"
"138",1114,4,"Oxford Health Insurance Company, Inc. ( Connecticut)","CT","PPO","Yes",3.5,3.5,3.5,"Commercial","Other"
"139",1213,4,"Oxford Health Plans (CT), Inc.","CT","HMO/POS","Yes",4,3.5,3,"Commercial","Other"
"140",1312,3.5,"Aetna Life Insurance Company (Connecticut)","CT","PPO/EPO","Yes",3,2.5,3.5,"Commercial","Aetna"
"141",1412,3.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut Special Project: Federal Employee Program","CT","PPO","Yes",4,2.5,2.5,"Commercial","Anthem"
"142",1512,3.5,"ConnectiCare Insurance Company, Inc. (CICI)","CT","POS/EPO","Yes",2.5,3.5,3,"Commercial","Other"
"143",1612,3.5,"ConnectiCare, Inc.","CT","HMO/POS","Yes",2.5,3.5,3,"Commercial","Other"
"144",1712,3.5,"HPHC Insurance Company, Inc.","CT","PPO","Yes",3,3,3,"Commercial","Other"
"145",189,3.5,"United Healthcare Services, Inc (Connecticut)","CT","PPO","Yes",2.5,3.5,3.5,"Commercial","United"
"146",199,3.5,"UnitedHealthcare Insurance Company (Connecticut)","CT","PPO","Yes",2.5,3.5,3.5,"Commercial","United"
"147",209,3,"Cigna HealthCare of Connecticut, Inc.","CT","HMO/POS","Yes",2.5,2.5,NA,"Commercial","Cigna"
"148",218,1.5,"American Postal Workers Union Health Plan","CT","PPO","No",4,0.5,1.5,"Commercial","Other"
"149",916,4,"Aetna Health Inc. (Connecticut) CMS Contract: H5793","CT","HMO","Yes",3.5,3.5,4,"Medicare","Aetna"
"150",1016,4,"Aetna Life Insurance Company (Connecticut) CMS Contract: H5521","CT","PPO","Yes",3.5,4,3.5,"Medicare","Aetna"
"151",1115,4,"Sierra Health and Life Insurance Company, Inc.-(CT,MA,ME,NH,RI,VT) CMS Contract: H2001","CT","PPO","Yes",4,5,3.5,"Medicare","Other"
"152",1214,3.5,"ConnectiCare, Inc. CMS Contract: H3528","CT","HMO/POS","No",4,4,3.5,"Medicare","Other"
"153",1313,3.5,"Oxford Health Plans (CT), Inc. (Medicare) CMS Contract: H0755","CT","HMO","Yes",3,3,3,"Medicare","Other"
"154",1413,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","CT","PPO","No",3.5,4,3.5,"Medicare","Other"
"155",1513,3.5,"UnitedHealthcare Insurance Company - Regional (CT, MA, RI, VT) CMS Contract: R7444","CT","PPO","Yes",3,3.5,2.5,"Medicare","United"
"156",1613,3.5,"WellCare of Connecticut, Inc. CMS Contract: H0712","CT","HMO","Yes",2.5,2.5,3,"Medicare","WellCare"
"157",918,4,"Highmark BCBSD Inc.","DE","HMO/POS/PPO/EPO","Yes",3.5,3.5,3,"Commercial","Blue"
"158",1018,3.5,"Aetna Health Inc. (Pennsylvania) - Delaware","DE","HMO/POS","Yes",3,3,3,"Commercial","Aetna"
"159",1117,3.5,"United Healthcare Services, Inc (Delaware)","DE","PPO","Yes",2,3.5,3,"Commercial","United"
"160",1215,3.5,"UnitedHealthcare Insurance Company (Delaware)","DE","PPO","Yes",2,3.5,3,"Commercial","United"
"161",1314,3,"Aetna Life Insurance Company (Delaware)","DE","PPO/EPO","Yes",3,2.5,2.5,"Commercial","Aetna"
"162",1414,3,"Cigna Health and Life Insurance Company - Delaware","DE","HMO/POS/PPO","Yes",3,2.5,2,"Commercial","Cigna"
"163",1514,3,"Optimum Choice, Inc.","DE","HMO/POS","Yes",2,2.5,3,"Commercial","Other"
"164",1614,1.5,"American Postal Workers Union Health Plan","DE","PPO","No",4,0.5,1.5,"Commercial","Other"
"165",919,4,"Aetna Health Inc. (Pennsylvania) - Delaware CMS Contract: H3931","DE","HMO","Yes",3.5,3,3.5,"Medicare","Aetna"
"166",1019,4,"Aetna Life Insurance Company (Delaware) CMS Contract: H5521","DE","PPO","Yes",3.5,4,3.5,"Medicare","Aetna"
"167",1118,4,"Sierra Health and Life Insurance Company, Inc.-(DC,DE,MD,VA,WV) CMS Contract: H2001","DE","PPO","Yes",4,5,3.5,"Medicare","Other"
"168",1216,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","DE","PPO","No",3.5,4,3.5,"Medicare","Other"
"169",1315,3.5,"UnitedHealthcare Insurance Company (DC,DE,MD,PA,VA,WV) CMS Contract: H2228","DE","PPO","Yes",3,3.5,3,"Medicare","United"
"170",1415,3,"Cigna-HealthSpring Mid-Atlantic, Inc. CMS Contract: H2108","DE","HMO","Yes",2,3.5,2.5,"Medicare","HealthSpring"
"171",1515,2.5,"Oxford Health Plans of New Jersey (Medicare) † CMS Contract: H3113","DE","HMO","No",2,3,3,"Medicare","Other"
"172",920,3.5,"Highmark BCBSD Health Options Inc.","DE","HMO","Yes",4,3,2.5,"Medicaid","Blue"
"173",921,5,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.","DC","HMO","Yes",2.5,5,4.5,"Commercial","Kaiser"
"174",1020,4,"CareFirst BlueChoice","DC","HMO/POS","Yes",3,3.5,3,"Commercial","Blue"
"175",1119,4,"CareFirst of Maryland, Inc.","DC","PPO/EPO","Yes",3,3.5,3.5,"Commercial","Other"
"176",1217,4,"Group Hospitalization and Medical Services, Inc. (GHMSI)","DC","PPO/EPO","Yes",3,3.5,3.5,"Commercial","Other"
"177",1316,4,"Group Hospitalization and Medical Services, Inc. (GHMSI)","DC","HMO/POS","Yes",3,3.5,3,"Commercial","Other"
"178",1416,4,"MD - Individual Practice Association, Inc.","DC","HMO/POS","Yes",4,3.5,3.5,"Commercial","Other"
"179",1516,3.5,"Aetna Health Inc. (Pennsylvania) - Maryland","DC","HMO/POS","Yes",3.5,3,3,"Commercial","Aetna"
"180",1615,3.5,"Aetna Life Insurance Company (MD/DC)","DC","PPO/EPO","Yes",3.5,3.5,3,"Commercial","Aetna"
"181",1715,3.5,"Innovation Health Insurance Company","DC","PPO/EPO","Yes",3,3,3,"Commercial","Other"
"182",1812,3.5,"United Healthcare Services, Inc (District of Columbia)","DC","PPO","Yes",2,3.5,2.5,"Commercial","United"
"183",1911,3.5,"UnitedHealthcare Insurance Company (Washington, DC)","DC","PPO","Yes",2,3.5,2.5,"Commercial","United"
"184",2011,3.5,"UnitedHealthcare of the Mid-Atlantic, Inc.","DC","HMO/POS","Yes",3,3,3,"Commercial","United"
"185",219,3,"Cigna Health and Life Insurance Company - Virginia/District of Columbia","DC","HMO/POS/PPO","Yes",2,3,3,"Commercial","Cigna"
"186",228,3,"Optimum Choice, Inc.","DC","HMO/POS","Yes",2,2.5,3,"Commercial","Other"
"187",237,1.5,"American Postal Workers Union Health Plan","DC","PPO","No",4,0.5,1.5,"Commercial","Other"
"188",922,5,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc. CMS Contract: H2150","DC","HMO","Yes",3.5,5,4.5,"Medicare","Kaiser"
"189",1021,4,"Aetna Health Inc. (Pennsylvania) - Maryland CMS Contract: H3931","DC","HMO","Yes",3.5,3,3.5,"Medicare","Aetna"
"190",1120,4,"Aetna Life Insurance Company (MD/DC) CMS Contract: H5521","DC","PPO","Yes",3.5,4,3.5,"Medicare","Aetna"
"191",1218,4,"Sierra Health and Life Insurance Company, Inc.-(DC,DE,MD,VA,WV) CMS Contract: H2001","DC","PPO","Yes",4,5,3.5,"Medicare","Other"
"192",1317,3.5,"Sierra Health and Life Insurance Company, Inc. CMS Contract: H2406","DC","PPO","No",3.5,4,3.5,"Medicare","Other"
"193",1417,3.5,"UnitedHealthcare Insurance Company (DC,DE,MD,PA,VA,WV) CMS Contract: H2228","DC","PPO","Yes",3,3.5,3,"Medicare","United"
"194",1517,3,"Cigna-HealthSpring Mid-Atlantic, Inc. CMS Contract: H2108","DC","HMO","Yes",2,3.5,2.5,"Medicare","HealthSpring"
"195",923,3.5,"AmeriHealth Caritas District of Columbia, Inc.","DC","HMO","Yes",2,3.5,3,"Medicaid","Other"
"196",1121,2.5,"Health Services for Children with Special Needs, Inc.","DC","HMO","No",2.5,3,2,"Medicaid","Other"
"197",924,4.5,"Capital Health Plan, Inc.","FL","HMO","Yes",4,4.5,4,"Commercial","Other"
"198",1023,3.5,"Aetna Life Insurance Company (Florida)","FL","PPO/EPO","Yes",3.5,2.5,2.5,"Commercial","Aetna"
"199",1122,3.5,"AvMed, Inc. d/b/a AvMed Health Plans","FL","HMO/POS","Yes",4,3,2.5,"Commercial","Other"
"200",1220,3.5,"Blue Cross And Blue Shield of Florida, Inc.","FL","PPO","Yes",4,3,3,"Commercial","Blue"
"201",1318,3.5,"Cigna Health and Life Insurance Company - Florida","FL","PPO","Yes",3.5,3,2.5,"Commercial","Cigna"
"202",1418,3.5,"Cigna HealthCare of Florida, Inc.","FL","HMO/POS","Yes",3.5,3,2.5,"Commercial","Cigna"
"203",1518,3.5,"Florida Health Care Plan, Inc.","FL","HMO/POS","Yes",3.5,2.5,3,"Commercial","Other"
"204",1617,3.5,"Health First Commercial Plans, Inc.","FL","HMO/POS","Yes",3.5,2.5,3,"Commercial","Other"
"205",1716,3.5,"Health First Insurance Inc.","FL","PPO","Yes",3.5,2.5,3,"Commercial","Other"
"206",1813,3.5,"Health Options Inc.","FL","HMO","Yes",2.5,3,3,"Commercial","Other"
"207",1912,3,"Aetna Health Inc. (Florida)","FL","HMO/POS","Yes",2.5,2.5,2.5,"Commercial","Aetna"
"208",2012,3,"Humana Medical Plan, Inc. (Florida)","FL","HMO/POS","Yes",2.5,2.5,2.5,"Commercial","Humana"
"209",229,3,"United HealthCare Services, Inc. (Florida)","FL","PPO","Yes",3,3,2.5,"Commercial","United"
