"","state","abbreviation","v1","rating","plan","type","ncqa","consumersat","prevention","treatment","instype","plantype","year","pop_2016.x","pct_pop_age0-18_2016","pct_pop_age19-25_2016","pct_pop_age26-34_2016","pct_pop_age35-54_2016","pct_pop_age55-64_2016","pct_pop_age65_2016","pct_citizen_2016","pct_male_2016","pct_female_2016","pct_white_2016","pct_black_2016","pct_hispanic_2016","pct_asian_2016","pct_native_2016","pct_pacific_2016","pct_two_or_more_races_2016","pct_fpv<100_2016","pct_fpv100-199_2016","pct_fpv200-399_2016","pct_fpv>400_2016","med_house_income_2016","pct_unemployed_2016","avg_monthly_SNAP_2016","expend_per_cap_2016","forclosure_rate_2016","pct_change_monthly_umployment_2016","pct_change_monthly_SNAP_2016","economic_distress_rank_2016","pct_any_mental_illness_2016","pct_serious_mental_illness_2016","cancer_death_rate_2016","death_rate_2016","cvs_death_rate_2016","firearm_death_rate_2016","opioid_od_death_rate_2016","all_drug_od_death_rate_2016","flu_pna_death_2016","pct_smoke_2016","pct_reported_poor_health_2016","expansion_2017","total_medicaid_enroll_2017","expansion_group_enrolled_2017","expansion_group_newly_eligible_enrolled_2017","hosp_expense_inpatient_day_2016","hosp_rate_gov_hosp_2016","hosp_rate_nonprofit_hosp_2016","hosp_rate_forprofit_hosp_2016","hosp_rate_total_2016","pct_uninsured_2013","pct_uninsured_2016","pct_change_uninsured_2013_2016","herfindahl_hirschman_Index_2016","market_share_largest_insure_2016","no_insure_>5%_mark_share_2016","gross_margins_per_member_2016","total_pc_hpsa_2017","pop_hpsa_2017","pct_needs_met_2017","no_practitioners_needed_2017","pct_hdhp_2017","avg_fam_prem_employee_cont_2016","avg_fam_prem_employer_cont_2016","avg_fam_prem_total_2016","avg_sing_prem_employee_cont_2016","avg_sing_prem_employer_cont_2016","avg_sing_prem_total_2016","hc_exp_per_cap_2014","avg_bench_mktplace_prem","pct_pot_mkt_pop_enrol_2016","no_insur_provid_2016","insur_spend_per_cap_2014","pct_not_hav_pcp_2016","quality_rank_2016","quality_value_2016","no_pcp_2018","no_specialist_2018","no_total_md_2018","pop_2016.y","land_area","pop_density","pct_disability_2016","num_gov_beds_2016","num_non_profit_beds_2016","num_for_profit_beds_2016","num_total_beds_2016","no_pcp_per_pop","no_specialists_per_pop","no_total_md_pop","rx_opioid_deaths_16.x","pct_no_place_care_2014.x","doc_dens","insured_dens","pct_non_citizen_2016","rx_opioid_deaths_16.y","pct_no_place_care_2014.y","rx_opioid_deaths_16","pct_no_place_care_2014"
"11","Arizona","AZ",123,3.5,"Connecticut General Life Insurance Company - Arizona","PPO","Yes",2.5,3.5,3,"Commercial","Connecticut General",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"12","Arizona","AZ",151,3,"Aetna Health Inc. (Pennsylvania) - Arizona","HMO/POS","Yes",2.5,2,2.5,"Commercial","Aetna",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"13","Arizona","AZ",161,3,"Aetna Life Insurance Company (Arizona)","PPO","Yes",3,2,2.5,"Commercial","Aetna",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"14","Arizona","AZ",171,3,"Health Net of Arizona, Inc.","HMO","Yes",2.5,2.5,2,"Commercial","Health Net",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"15","Arizona","AZ",181,3,"Humana Health Plan, Inc. (Arizona)","HMO/POS","Yes",2,2.5,3,"Commercial","Humana",2016,6890200,25,10,11,26,12,16,91,49,51,0.54,0.04,0.34,0.03,"0.02",NA,0.01,16.25,18.81,28.47,36.47,57100,5.1,960105,5725,1287,-9,-2.8,24,17,3.9,136.8,675.8,138.9,15.2,11.4,20.3,10.4,14.7,18.6,1,1904800,425800,112900,2479.34,29,313,90,431,23.6,13.6,-10.1,2783,42,4,-11,216,4770858,45.09,837,58,5305,12179,17484,1283,4763,6046,6452,239,34,8,4035,26.7,29,-0.02,8456,9247,17703,6890200,113642,60.6307527146654,13.2,0.1,1.3,0.5,1.9,1.22725029752402,1.34205102899771,2.56930132652173,466,0.231,0.1557786733778,2.11858995793809,9,466,0.231,466,0.231
"16","Arkansas","AR",106,3,"UnitedHealthcare Insurance Company (Arkansas)","PPO","Yes",3,2.5,2,"Commercial","United",2016,2945300,25,9,12,25,12,16,96,49,51,0.72,0.15,0.07,NA,"0.01",NA,0.02,16.14,19.13,33.59,31.14,45907,4,426069,8018,1595,-16.2,-12.5,50,20.5,5.3,178.8,893.2,223.7,17.8,5.9,14,17.1,23.6,25.6,1,960600,321000,310800,1707.33,82,407,117,606,24.1,11.7,-12.4,5039,68,3,18,103,656572,62.6,92,39.6,4917,10012,14929,1235,4106,5341,7408,298,24,4,3906,19.7,48,-0.834,3473,3609,7082,2945300,52075,56.5588094095055,17,0.3,2.2,0.6,3.2,1.17916680813499,1.22534207041728,2.40450887855227,152,0.171,0.135996159385502,1.59115506481037,4,152,0.171,152,0.171
"17","Arkansas","AR",116,2.5,"Aetna Life Insurance Company (Arkansas)","PPO","Yes",3.5,2,1.5,"Commercial","Aetna",2016,2945300,25,9,12,25,12,16,96,49,51,0.72,0.15,0.07,NA,"0.01",NA,0.02,16.14,19.13,33.59,31.14,45907,4,426069,8018,1595,-16.2,-12.5,50,20.5,5.3,178.8,893.2,223.7,17.8,5.9,14,17.1,23.6,25.6,1,960600,321000,310800,1707.33,82,407,117,606,24.1,11.7,-12.4,5039,68,3,18,103,656572,62.6,92,39.6,4917,10012,14929,1235,4106,5341,7408,298,24,4,3906,19.7,48,-0.834,3473,3609,7082,2945300,52075,56.5588094095055,17,0.3,2.2,0.6,3.2,1.17916680813499,1.22534207041728,2.40450887855227,152,0.171,0.135996159385502,1.59115506481037,4,152,0.171,152,0.171
"18","Arkansas","AR",97,3,"United Healthcare Services, Inc (Arkansas)","PPO","Yes",3,2.5,2,"Commercial","United",2016,2945300,25,9,12,25,12,16,96,49,51,0.72,0.15,0.07,NA,"0.01",NA,0.02,16.14,19.13,33.59,31.14,45907,4,426069,8018,1595,-16.2,-12.5,50,20.5,5.3,178.8,893.2,223.7,17.8,5.9,14,17.1,23.6,25.6,1,960600,321000,310800,1707.33,82,407,117,606,24.1,11.7,-12.4,5039,68,3,18,103,656572,62.6,92,39.6,4917,10012,14929,1235,4106,5341,7408,298,24,4,3906,19.7,48,-0.834,3473,3609,7082,2945300,52075,56.5588094095055,17,0.3,2.2,0.6,3.2,1.17916680813499,1.22534207041728,2.40450887855227,152,0.171,0.135996159385502,1.59115506481037,4,152,0.171,152,0.171
"19","California","CA",137,3.5,"Anthem Blue Cross Life and Health Insurance Company","PPO","Yes",3,2.5,3,"Commercial","Anthem",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"20","California","CA",164,3.5,"Blue Shield of California","HMO/POS","Yes",2.5,3,3,"Commercial","Blue",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"21","California","CA",174,3.5,"Cigna HealthCare of California, Inc.","HMO/POS","Yes",2.5,3.5,3,"Commercial","Cigna",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"22","California","CA",145,3.5,"Blue Cross of California dba Anthem Blue Cross","HMO/POS","Yes",3,3.5,3,"Commercial","Anthem",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"23","California","CA",154,3.5,"Blue Cross of California dba Anthem Blue Cross","PPO","Yes",3,2.5,3,"Commercial","Anthem",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"24","California","CA",203,3,"Blue Shield of California","PPO","Yes",1.5,2.5,2.5,"Commercial","Blue",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"25","California","CA",213,3,"Blue Shield of California Life & Health Insurance Company","PPO","Yes",1.5,2.5,2.5,"Commercial","Blue",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"26","California","CA",184,3.5,"Health Net of California, Inc.","HMO/POS","Yes",2,3.5,3,"Commercial","Health Net",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"27","California","CA",194,3,"Aetna Life Insurance Company (California)","PPO","Yes",2.5,2.5,2.5,"Commercial","Aetna",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
"28","California","CA",241,3,"Connecticut General Life Insurance Company - California","PPO","Yes",2,3,3,"Commercial","Connecticut General",2016,39188300,25,10,13,26,12,14,87,50,50,0.38,0.05,0.39,0.15,"0.01","0.01",0.02,13.98,17.86,27.6,40.55,66637,5.3,4340042,6392,1521,-5.2,-3.9,27,16.8,3.5,139.7,616.9,143.1,7.9,4.9,11.2,14,11,17.8,1,13189700,3673900,3673900,3421.19,84,277,72,432,23.9,10.4,-13.5,2519,30,4,NA,640,7932713,45.88,1443,38.4,4829,12629,17458,1146,4908,6054,7549,312,47,12,4735,24,16,0.346,52890,57712,110602,39188300,155973,251.250536951908,10.8,0.3,1.2,0.3,1.8,1.34963751936165,1.47268444918509,2.82232196854673,1435,0.189,0.709109910048534,7.37474306450475,13,1435,0.189,1435,0.189
