"","X1","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"35",22,2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AZ","PPO","No",2.5,2.5,3,"Medicare","Humana"
"36",97,3,"United Healthcare Services, Inc  (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial","United"
"37",106,3,"UnitedHealthcare Insurance Company (Arkansas)","AR","PPO","Yes",3,2.5,2,"Commercial","United"
"38",116,2.5,"Aetna Life Insurance Company (Arkansas)","AR","PPO/EPO","Yes",4,1.5,1.5,"Commercial","Aetna"
"39",98,4,"Sierra Health and Life Insurance Company, Inc. (AR,LA,NM,OK,TX)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","AR","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"40",117,3.5,"Coventry Health and Life Insurance Company (Iowa)
                                    
                                        
                                    

                                    
                                        CMS Contract: H1608","AR","PPO","No",4,3.5,3.5,"Medicare","Coventry"
"41",127,3.5,"Coventry Health Care of Missouri, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2663","AR","HMO/POS","No",3.5,3.5,3.5,"Medicare","Coventry"
"42",137,3,"HealthSpring of Tennessee
                                    
                                        
                                    

                                    
                                        CMS Contract: H4454","AR","HMO","No",3,4,3,"Medicare","HealthSpring"
"43",143,3,"HealthSpring of Tennessee
                                    
                                        
                                    

                                    
                                        CMS Contract: H4407","AR","HMO","No",3,3.5,3,"Medicare","HealthSpring"
"44",153,2.5,"Arkansas Blue Cross & Blue Shield
                                    
                                        
                                    

                                    
                                        CMS Contract: H8091","AR","PPO","No",3.5,3,2,"Medicare","Blue"
"45",163,2.5,"Care Improvement Plus South Central Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R3444","AR","PPO","No",2,2.5,2.5,"Medicare","Care Improvement"
"46",173,2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H7787","AR","PPO","No",2.5,3,2.5,"Medicare","HealthSpring"
"47",183,2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H2165","AR","HMO","No",2.5,3,2.5,"Medicare","HealthSpring"
"48",193,2.5,"HealthSpring Life and Health
                                    
                                        
                                    

                                    
                                        CMS Contract: H6972","AR","HMO","No",2.5,2,2.5,"Medicare","HealthSpring"
"49",202,2.5,"Humana Insurance Company
                                    
                                        
                                    

                                    
                                        CMS Contract: R5826","AR","PPO","No",2.5,2.5,3,"Medicare","Humana"
"50",99,5,"Kaiser Foundation Health Plan, Inc. - Northern California","CA","HMO","Yes",3,5,4.5,"Commercial","Kaiser"
"51",108,4.5,"Kaiser Foundation Health Plan Inc. - Southern California","CA","HMO","Yes",3,4.5,4,"Commercial","Kaiser"
"52",118,4.5,"Sharp Health Plan","CA","HMO","Yes",4,3.5,3.5,"Commercial","Other"
"53",128,4,"Western Health Advantage","CA","HMO","Yes",4,3.5,3,"Commercial","Other"
"54",138,3.5,"Aetna Life Insurance Company (California)","CA","PPO/EPO","Yes",3,2.5,3,"Commercial","Aetna"
"55",144,3.5,"Anthem Blue Cross Life and Health Insurance Company","CA","PPO","Yes",2.5,3,3,"Commercial","Anthem"
"56",154,3.5,"Blue Cross of California dba Anthem Blue Cross","CA","HMO/POS","Yes",2.5,3,3,"Commercial","Anthem"
"57",164,3.5,"Blue Cross of California dba Anthem Blue Cross","CA","PPO","Yes",2.5,3,3,"Commercial","Anthem"
"58",174,3.5,"Blue Shield of California","CA","HMO/POS","Yes",3,3,3,"Commercial","Blue"
"59",184,3.5,"Chinese Community Health Plan","CA","HMO","No",2,3.5,NA,"Commercial","Other"
"60",194,3.5,"Cigna HealthCare of California, Inc.","CA","HMO/POS","Yes",2.5,3,2.5,"Commercial","Cigna"
"61",203,3.5,"Health Net of California, Inc.","CA","HMO/POS","Yes",2.5,3,3,"Commercial","Health Net"
"62",212,3.5,"UnitedHealthcare of California (formerly PacifiCare of California)","CA","HMO","Yes",3.5,2.5,3,"Commercial","United"
"63",222,3.5,"Valley Health Plan","CA","HMO","Yes",1.5,3.5,3.5,"Commercial","Other"
"64",232,3,"Cigna Health and Life Insurance Company - California","CA","PPO","Yes",2,2.5,2.5,"Commercial","Cigna"
"65",242,3,"Connecticut General Life Insurance Company - California","CA","PPO","Yes",2,2.5,2.5,"Commercial","Connecticut General"
"66",251,3,"United HealthCare Services, Inc. (California)","CA","PPO","Yes",1.5,3,3,"Commercial","United"
"67",261,3,"UnitedHealthcare Insurance Company (California)","CA","PPO","Yes",1.5,3,3,"Commercial","United"
"68",27,2.5,"Aetna Health of California, Inc.","CA","HMO/POS","Yes",2,2,2.5,"Commercial","Aetna"
"69",28,2.5,"Alameda Alliance for Health Joint  Powers Authority","CA","HMO","Yes",2,1.5,2,"Commercial","Other"
"70",910,5,"Kaiser Foundation Health Plan Inc. - Southern California
                                    
                                        
                                    

                                    
                                        Special Project: AccreditationCMS Contract: H0524","CA","HMO","Yes",4,5,4.5,"Medicare","Kaiser"
"71",109,5,"Kaiser Foundation Health Plan, Inc. - Northern California
                                    
                                        
                                    

                                    
                                        Special Project / Area: Accreditation / NorthCMS Contract: H0524","CA","HMO","Yes",4,5,4.5,"Medicare","Kaiser"
"72",119,4.5,"Aetna Life Insurance Company (California)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CA","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"73",129,4,"Aetna Health of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0523","CA","HMO","Yes",2.5,3,3.5,"Medicare","Aetna"
"74",139,4,"Sierra Health and Life Insurance Company, Inc. (AZ,CA,NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CA","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"75",145,3.5,"Blue Shield of California
                                    
                                        
                                    

                                    
                                        CMS Contract: H0504","CA","HMO","Yes",3.5,3,3,"Medicare","Blue"
"76",155,3.5,"Health Net of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0562","CA","HMO","Yes",3,3.5,3,"Medicare","Health Net"
"77",165,3.5,"SCAN Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H5425","CA","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"78",175,3.5,"UnitedHealthcare of California (formerly PacifiCare of California)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0543","CA","HMO","Yes",3,3.5,3.5,"Medicare","United"
"79",185,3,"Chinese Community Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H0571","CA","HMO","No",1.5,3.5,4,"Medicare","Other"
"80",195,3,"Golden State Medicare Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H2241","CA","HMO","No",2.5,3.5,3,"Medicare","Other"
"81",204,3,"Inter Valley Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H0545","CA","HMO","No",3,4,3,"Medicare","Other"
"82",213,3,"Local Initiative Health Authority, dba L.A. Care Health Plan
                                    
                                        
                                    

                                    
                                        CMS Contract: H8258","CA","HMO","Yes",1.5,1.5,2.5,"Medicare","Other"
"83",223,2.5,"Central Health Plan of California, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5649","CA","HMO","No",1.5,3.5,2.5,"Medicare","Other"
"84",233,2.5,"Community Health Group
                                    
                                        
                                    

                                    
                                        CMS Contract: H5172","CA","HMO","No",2.5,2.5,3,"Medicare","Other"
"85",243,2.5,"Easy Choice Health Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5087","CA","HMO","No",1.5,2.5,3,"Medicare","Other"
"86",252,2.5,"Molina Healthcare of California Partner Plan Inc.ʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H5810","CA","HMO","No",1.5,2.5,2.5,"Medicare","Molina"
"87",262,2.5,"Molina Healthcare of California Partner Plan Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H8677","CA","HMO","No",2,1.5,3,"Medicare","Molina"
"88",911,3.5,"Orange County Health Authority  -  dba CalOptima","CA","HMO","Yes",1.5,3.5,3.5,"Medicaid","Other"
"89",1010,3,"Alameda Alliance for Health","CA","HMO","Yes",3,2.5,2.5,"Medicaid","Other"
"90",1110,3,"Blue Cross of California Partnership Plan","CA","HMO","Yes",2,2.5,3,"Medicaid","Blue"
"91",1210,3,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Area: San Diego","CA","HMO","Yes",2.5,3,2.5,"Medicaid","Other"
"92",1310,3,"Community Health Group","CA","HMO","Yes",2.5,2.5,2.5,"Medicaid","Other"
"93",146,3,"Inland Empire Health Plan","CA","HMO","Yes",2,3,3,"Medicaid","Other"
"94",156,3,"Local Initiative Health Authority, dba L.A. Care Health Plan","CA","HMO","Yes",1.5,2.5,3,"Medicaid","Other"
"95",166,3,"Molina Healthcare of California Partner Plan Inc.","CA","HMO","Yes",1.5,3,3,"Medicaid","Molina"
"96",176,2.5,"Care1st Health Plan
                                    
                                        
                                    

                                    
                                        Special Area: Los Angeles","CA","HMO","Yes",2,2.5,1.5,"Medicaid","Other"
"97",186,2.5,"Contra Costa Health Plan","CA","HMO","Yes",2,3,2,"Medicaid","Other"
"98",912,4,"HMO Colorado, Inc.","CO","HMO","Yes",2.5,4,3.5,"Commercial","Other"
"99",1011,4,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",1.5,4,4,"Commercial","Kaiser"
"100",1111,3.5,"Aetna Life Insurance Company (Colorado)","CO","PPO/EPO","Yes",2,3,3,"Commercial","Aetna"
"101",1211,3.5,"Denver Health Medical Plan, Inc.","CO","HMO/POS","Yes",2,4,3,"Commercial","Other"
"102",147,3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",2,3,3,"Commercial","Other"
"103",157,3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","PPO","Yes",2,3.5,3,"Commercial","Other"
"104",167,3.5,"Rocky Mountain Healthcare Options, Inc.","CO","PPO","Yes",2,3,3,"Commercial","Other"
"105",177,3.5,"United Healthcare Services, Inc. (Colorado)","CO","PPO","Yes",2,3,3,"Commercial","United"
"106",187,3.5,"UnitedHealthcare Insurance Company (Colorado)","CO","PPO","Yes",2,3,3,"Commercial","United"
"107",197,3,"Cigna Health and Life Insurance Company - Colorado","CO","PPO","Yes",2.5,2.5,2.5,"Commercial","Cigna"
"108",206,3,"Connecticut General Life Insurance Company - Colorado","CO","PPO","Yes",2.5,2.5,2.5,"Commercial","Connecticut General"
"109",215,3,"UnitedHealthcare of Colorado, Inc.","CO","HMO","Yes",1.5,2.5,2.5,"Commercial","United"
"110",225,2.5,"Rocky Mountain Hospital and Medical Services, Inc. dba Anthem Blue Cross and Blue Shield (Colorado)
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","CO","PPO","No (In process)",4,2.5,2.5,"Commercial","Anthem"
"111",913,4.5,"Aetna Life Insurance Company (Colorado)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CO","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"112",1012,4.5,"Kaiser Foundation Health Plan of Colorado
                                    
                                        
                                    

                                    
                                        CMS Contract: H0630","CO","HMO","Yes",3.5,5,4.5,"Medicare","Kaiser"
"113",1112,4,"Aetna Health Inc. (Pennsylvania) - Colorado
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","CO","HMO","Yes",3,4,3.5,"Medicare","Aetna"
"114",1212,4,"PacifiCare of Colorado, Inc. (AZ/CO/NV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0609","CO","HMO","Yes",3.5,4,3.5,"Medicare","Other"
"115",1312,4,"Sierra Health and Life Insurance Company, Inc. (CO,MT,ND,SD,UT,WY)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CO","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"116",148,3.5,"Humana Health Plan, Inc. (Colorado)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2649","CO","HMO","Yes",3,3,3,"Medicare","Humana"
"117",158,3.5,"Rocky Mountain Health Maintenance Organization, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0602","CO","HMO","Yes",3.5,3.5,3,"Medicare","Other"
"118",168,3.5,"Sierra Health and Life Insurance Company, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5652","CO","HMO/POS","No",4,4.5,3.5,"Medicare","Other"
"119",178,3,"Denver Health Medical Plan, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H5608","CO","HMO","Yes",2,3,3,"Medicare","Other"
"120",188,3,"UnitedHealthcare of Colorado, Inc.ʠ
                                    
                                        
                                    

                                    
                                        CMS Contract: H0624","CO","HMO","No",2,3,3.5,"Medicare","United"
"121",914,3.5,"Rocky Mountain Health Maintenance Organization, Inc.","CO","HMO","Yes",2.5,2.5,3,"Medicaid","Other"
"122",1013,2.5,"Denver Health Medical Plan, Inc.
                                    
                                        
                                    

                                    
                                        Special Project: CO Medicaid","CO","HMO","No",2.5,2.5,2,"Medicaid","Other"
"123",915,4.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut","CT","HMO/POS","Yes",4.5,4.5,3.5,"Commercial","Anthem"
"124",1014,4,"Aetna Life Insurance Company (Connecticut)","CT","PPO/EPO","Yes",3.5,3.5,3.5,"Commercial","Aetna"
"125",1114,4,"Cigna Health and Life Insurance Company - Connecticut","CT","PPO","Yes",3,4,3,"Commercial","Cigna"
"126",1213,4,"ConnectiCare Insurance Company, Inc. (CICI)","CT","HMO/POS","Yes",3.5,4,3.5,"Commercial","Other"
"127",1313,4,"ConnectiCare, Inc.","CT","HMO/POS","Yes",3.5,4,3.5,"Commercial","Other"
"128",149,4,"Connecticut General Life Insurance Company - Connecticut","CT","PPO","Yes",3,4,3,"Commercial","Connecticut General"
"129",159,4,"Oxford Health Insurance Company, Inc. ( Connecticut)","CT","PPO","Yes",4.5,3.5,3,"Commercial","Other"
"130",169,4,"Oxford Health Plans (CT), Inc.","CT","HMO/POS","Yes",3.5,4,3,"Commercial","Other"
"131",179,3.5,"Anthem Health Plans, Inc. dba Anthem Blue Cross and Blue Shield - Connecticut
                                    
                                        
                                    

                                    
                                        Special Project: Federal Employee Program","CT","PPO","Yes",4,3,2.5,"Commercial","Anthem"
"132",189,3.5,"United Healthcare Services, Inc  (Connecticut)","CT","PPO","Yes",2,4,3,"Commercial","United"
"133",199,3.5,"UnitedHealthcare Insurance Company- Connecticut","CT","PPO","Yes",2,4,3,"Commercial","United"
"134",207,3,"Cigna HealthCare of Connecticut, Inc.","CT","HMO/POS","Yes",3,3,2,"Commercial","Cigna"
"135",216,3,"Harvard Pilgrim Insurance Company, Inc. (CT)","CT","PPO","No",2,3.5,3,"Commercial","Other"
"136",916,4.5,"Aetna Life Insurance Company (Connecticut)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","CT","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"137",1015,4,"Aetna Health Inc. (Connecticut)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5793","CT","HMO","Yes",3,3.5,4,"Medicare","Aetna"
"138",1115,4,"Oxford Health Plans (CT), Inc. (Medicare)
                                    
                                        
                                    

                                    
                                        CMS Contract: H0755","CT","HMO","Yes",4.5,4,3,"Medicare","Other"
"139",1214,4,"Sierra Health and Life Insurance Company, Inc.-(CT,MA,ME,NH,RI,VT)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","CT","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"140",1314,3.5,"ConnectiCare, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H3528","CT","HMO/POS","No",4,3.5,3.5,"Medicare","Other"
"141",1410,3.5,"UnitedHealthcare Insurance Company - Regional (CT, MA, RI, VT)
                                    
                                        
                                    

                                    
                                        CMS Contract: R7444","CT","PPO","Yes",2.5,3.5,3,"Medicare","United"
"142",1510,3,"WellCare of Connecticut, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H0712","CT","HMO","Yes",2.5,3,3,"Medicare","WellCare"
"143",918,4,"Highmark BCBSD Inc.","DE","HMO/POS/PPO","Yes",3,3.5,3,"Commercial","Blue"
"144",1017,3.5,"Aetna Health Inc. (Pennsylvania) - Delaware","DE","HMO/POS","Yes",2.5,3.5,3.5,"Commercial","Aetna"
"145",1117,3.5,"Optimum Choice, Inc.","DE","HMO/POS","Yes",2,3,3,"Commercial","Other"
"146",1215,3.5,"United Healthcare Services, Inc  (Delaware)","DE","PPO","Yes",3,3.5,3,"Commercial","United"
"147",1315,3.5,"UnitedHealthcare Insurance Company (Delaware)","DE","PPO","Yes",3,3.5,3,"Commercial","United"
"148",1411,3,"Aetna Life Insurance Company (Delaware)","DE","PPO/EPO","Yes",3,2.5,2.5,"Commercial","Aetna"
"149",1511,3,"Cigna Health and Life Insurance Company - Delaware","DE","HMO/POS/PPO","Yes",3,2.5,2.5,"Commercial","Cigna"
"150",1611,3,"Connecticut General Life Insurance Company - Delaware","DE","HMO/POS/PPO","Yes",3,2.5,2.5,"Commercial","Connecticut General"
"151",919,4.5,"Aetna Life Insurance Company (Delaware)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","DE","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"152",1018,4,"Aetna Health Inc. (Pennsylvania) - Delaware
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","DE","HMO","Yes",3,4,3.5,"Medicare","Aetna"
"153",1118,4,"Sierra Health and Life Insurance Company, Inc.-(DC,DE,MD,VA,WV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","DE","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"154",1216,3,"Cigna-HealthSpring Mid-Atlantic, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2108","DE","HMO","Yes",2,3,3,"Medicare","HealthSpring"
"155",920,3,"Highmark BCBSD Health Options, Inc.","DE","HMO","Yes (Interim)",3.5,3,2.5,"Medicaid","Blue"
"156",1019,3,"Unison Health Plan of Delaware, Inc. d/b/a UnitedHealthcare Community Plan (DE)","DE","HMO","Yes",3.5,3,2.5,"Medicaid","United"
"157",921,4.5,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.","DC","HMO","Yes",3.5,4.5,4.5,"Commercial","Kaiser"
"158",1020,4,"Aetna Life Insurance Company (MD/DC)","DC","PPO/EPO","Yes",3,3.5,3.5,"Commercial","Aetna"
"159",1119,4,"CareFirst of Maryland, Inc.","DC","PPO/EPO","Yes",3.5,3.5,3,"Commercial","Other"
"160",1217,4,"Group Hospitalization and Medical Services, Inc. (GHMSI)","DC","PPO/EPO","Yes",3.5,3.5,3,"Commercial","Other"
"161",1317,4,"MD - Individual Practice Association, Inc.","DC","HMO/POS","Yes",3.5,3,3,"Commercial","Other"
"162",1412,3.5,"Aetna Health Inc. (Pennsylvania) - Maryland","DC","HMO/POS","Yes",3.5,3,3,"Commercial","Aetna"
"163",1512,3.5,"CareFirst BlueChoice","DC","HMO/POS","Yes",3,3.5,3,"Commercial","Blue"
"164",1612,3.5,"Cigna Health and Life Insurance Company - Virginia/District of Columbia","DC","HMO/POS/PPO","Yes",3,3,2.5,"Commercial","Cigna"
"165",1712,3.5,"Connecticut General Life Insurance Company - Virginia/District of Columbia","DC","HMO/POS/PPO","Yes",3,3,2.5,"Commercial","Connecticut General"
"166",1810,3.5,"Group Hospitalization and Medical Services, Inc. (GHMSI)","DC","HMO/POS","Yes",3,3.5,3,"Commercial","Other"
"167",1910,3.5,"Optimum Choice, Inc.","DC","HMO/POS","Yes",2,3,3,"Commercial","Other"
"168",208,3.5,"United Healthcare Services, Inc  (District of Columbia)","DC","PPO","Yes",2,3,3,"Commercial","United"
"169",217,3.5,"UnitedHealthcare Insurance Company (Washington, DC)","DC","PPO","Yes",2,3,3,"Commercial","United"
"170",227,3.5,"UnitedHealthcare of the Mid-Atlantic, Inc.","DC","HMO/POS","Yes",2.5,3.5,3,"Commercial","United"
"171",922,4.5,"Aetna Life Insurance Company (MD/DC)
                                    
                                        
                                    

                                    
                                        CMS Contract: H5521","DC","PPO","Yes",3.5,4,4,"Medicare","Aetna"
"172",1021,4.5,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2150","DC","HMO","Yes",3.5,5,4.5,"Medicare","Kaiser"
"173",1120,4,"Aetna Health Inc. (Pennsylvania) - Maryland
                                    
                                        
                                    

                                    
                                        CMS Contract: H3931","DC","HMO","Yes",3,4,3.5,"Medicare","Aetna"
"174",1218,4,"Sierra Health and Life Insurance Company, Inc.-(DC,DE,MD,VA,WV)
                                    
                                        
                                    

                                    
                                        CMS Contract: H2001","DC","PPO","Yes",3.5,4,3.5,"Medicare","Other"
"175",1318,3,"Cigna-HealthSpring Mid-Atlantic, Inc.
                                    
                                        
                                    

                                    
                                        CMS Contract: H2108","DC","HMO","Yes",2,3,3,"Medicare","HealthSpring"
"176",923,3.5,"AmeriHealth Caritas District of Columbia, Inc.","DC","HMO","Yes",3.5,3,3,"Medicaid","Other"
"177",1022,3.5,"MedStar Family Choice, Inc. (DC)","DC","HMO","Yes",2.5,3.5,3,"Medicaid","Other"
"178",1121,3,"Health Services for Children with Special Needs, Inc.","DC","HMO","No",3,3,2.5,"Medicaid","Other"
"179",1219,3,"Trusted Health Plan (District of Columbia), Inc.","DC","HMO","Yes",2.5,2,2.5,"Medicaid","Other"
"180",924,4.5,"Capital Health Plan, Inc.","FL","HMO","Yes",4,4,3.5,"Commercial","Other"
"181",1023,3.5,"AvMed, Inc. d/b/a AvMed Health Plans","FL","HMO/POS","Yes",3.5,3.5,2.5,"Commercial","Other"
"182",1122,3.5,"Blue Cross And Blue Shield of Florida, Inc.","FL","PPO","Yes",4,2.5,2.5,"Commercial","Blue"
"183",1220,3.5,"Florida Health Care Plan, Inc.","FL","HMO/POS","Yes",4,3,3,"Commercial","Other"
"184",1319,3.5,"Health First Commercial Plans, Inc.","FL","HMO/POS","Yes",3,3,3.5,"Commercial","Other"
"185",1414,3,"Aetna Health Inc.  (Florida)","FL","HMO/POS","Yes",3,2.5,2.5,"Commercial","Aetna"
"186",1514,3,"Aetna Life Insurance Company (Florida)","FL","PPO/EPO","Yes",3,2.5,2.5,"Commercial","Aetna"
