"","x","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype","plantype"
"34",134,4,"Humana Health Plan - Arizona","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"35",143,4,"Humana Health Plan - Kansas City","AZ","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"36",153,3.5,"Aetna Health (Pennsylvania) - Arizona","AZ","HMO","Yes",2,3,3.5,"Medicare","Aetna"
"37",162,3.5,"Blue Cross Blue Shield of Arizona Advantage","AZ","HMO","No",3,4,3.5,"Medicare","Blue"
"38",172,3.5,"CareMore HealthPlan (H0544)","AZ","HMO","No",3.5,4,3,"Medicare","Other"
"39",182,3.5,"Humana Insurance (Ohio)","AZ","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"40",192,3.5,"Humana Insurance Company (Arizona)","AZ","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"41",201,3.5,"PacifiCare of Arizona","AZ","HMO","Yes",3,3,3,"Medicare","Other"
"42",211,3.5,"UnitedHealthcare Insurance","AZ","PPO","Yes",3,3.5,3,"Medicare","United"
"43",221,3.5,"UnitedHealthcare of Arizona","AZ","HMO/POS","Yes",2.5,3,3,"Medicare","United"
"44",231,3,"CareMore HealthPlan (H2593)","AZ","HMO","No",2,3.5,3.5,"Medicare","Other"
"45",241,3,"CareMore HealthPlan (H3447)","AZ","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"46",251,3,"CareMore HealthPlan (H4346)","AZ","HMO","No",2,3,3.5,"Medicare","Other"
"47",261,3,"Health Net of Arizona","AZ","HMO","No",2.5,3,3,"Medicare","Health Net"
"48",271,3,"Humana Insurance","AZ","PPO","No",4,3,3,"Medicare","Humana"
"49",28,3,"SCAN Health Plan (Arizona Classic/Connections)","AZ","HMO","No",3,2.5,3,"Medicare","Other"
"50",97,3,"Humana Health Plan","AR","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"51",107,3,"Vantage Health Plan","AR","HMO/POS","Yes (Interim)",4,2.5,3,"Commercial","Other"
"52",116,2.5,"United Healthcare Insurance","AR","PPO","Yes",2.5,1.5,2,"Commercial","United"
"53",126,2.5,"United HealthCare Services","AR","PPO","Yes",3,2,2,"Commercial","United"
"54",136,2.5,"UnitedHealthcare Insurance","AR","PPO","Yes",3,2,2,"Commercial","United"
"55",145,2,"Aetna Life Insurance Company (Arkansas)","AR","PPO","Yes",3,1.5,1.5,"Commercial","Aetna"
"56",155,2,"Coventry Health and Life Insurance Company (Kansas)","AR","PPO","Yes",2.5,1.5,1.5,"Commercial","Coventry"
"57",98,4,"Aetna Life Insurance Company (Pennsylvania)","AR","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"58",108,4,"Humana Health Plan","AR","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"59",117,3.5,"Coventry Health Care of Kansas","AR","HMO","No",3,3.5,3.5,"Medicare","Coventry"
"60",127,3.5,"Humana Health Plan - Kentucky","AR","HMO","Yes",3,3,3,"Medicare","Humana"
"61",137,3.5,"Humana Insurance (Ohio)","AR","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"62",146,3.5,"UnitedHealthcare Insurance","AR","PPO","Yes",3,3.5,3,"Medicare","United"
"63",156,3,"Coventry Health and Life Insurance (Missouri)","AR","PPO","No",3,3,3,"Medicare","Coventry"
"64",165,3,"Coventry Health and Life Insurance Company","AR","PPO","No",3.5,3,3,"Medicare","Coventry"
"65",174,3,"HealthSpring Life and Health (H2165)","AR","HMO","No",3.5,3,2.5,"Medicare","HealthSpring"
"66",184,3,"Humana Insurance","AR","PPO","No",4,3,3,"Medicare","Humana"
"67",194,2.5,"Care Improvement Plus South Central Insurance (H6528)","AR","PPO","No",2.5,2.5,2,"Medicare","Care Improvement"
"68",202,2.5,"Care Improvement Plus South Central Insurance (R3444)","AR","PPO","No",3,2.5,2,"Medicare","Care Improvement"
"69",212,2.5,"Care Improvement Plus South Central Insurance (R9896)","AR","PPO","No",3,3,2.5,"Medicare","Care Improvement"
"70",222,2.5,"HealthSpring Life and Health","AR","PPO","No",2.5,3,2.5,"Medicare","HealthSpring"
"71",232,2,"HealthSpring Life and Health (H7811)","AR","HMO","No",2.5,2,2,"Medicare","HealthSpring"
"72",242,1.5,"Windsor Health Plan (TN)","AR","HMO","No",2,1.5,1.5,"Medicare","Other"
"73",99,5,"Kaiser Foundation Health Plan of Northern California","CA","HMO","Yes",3.5,4.5,4.5,"Commercial","Kaiser"
"74",109,4.5,"Kaiser Foundation Health Plan of Southern California","CA","HMO","Yes",3,4.5,4.5,"Commercial","Kaiser"
"75",119,4,"Sharp Health Plan","CA","HMO","Yes",4,3.5,3.5,"Commercial","Other"
"76",128,4,"Western Health Advantage","CA","HMO","Yes",3,3.5,3.5,"Commercial","Other"
"77",138,3.5,"Anthem Blue Cross","CA","HMO/POS","Yes",2,3,3,"Commercial","Anthem"
"78",147,3.5,"Anthem Blue Cross","CA","PPO","Yes",2,3,3,"Commercial","Anthem"
"79",157,3.5,"Anthem Blue Cross Life and Health Insurance","CA","PPO","Yes",2,3,3,"Commercial","Anthem"
"80",166,3.5,"Blue Shield of California","CA","HMO/POS","Yes",3.5,3,3,"Commercial","Blue"
"81",175,3.5,"Cigna Health and Life Insurance","CA","PPO","Yes",2.5,3,3,"Commercial","Cigna"
"82",185,3.5,"Cigna HealthCare of California","CA","HMO/POS","Yes",2.5,3.5,3,"Commercial","Cigna"
"83",195,3.5,"Connecticut General Life Insurance (Cigna)","CA","PPO","Yes",2.5,3,3,"Commercial","Connecticut General"
"84",203,3.5,"Health Net of California","CA","HMO/POS","Yes",2.5,3,3,"Commercial","Health Net"
"85",213,3.5,"UnitedHealthcare of California","CA","HMO","Yes",2.5,2.5,3,"Commercial","United"
"86",223,3,"Aetna Health of California","CA","HMO/POS","Yes",2,2,2.5,"Commercial","Aetna"
"87",233,3,"Aetna Life Insurance Company (California)","CA","PPO","Yes",2.5,2.5,2.5,"Commercial","Aetna"
"88",243,3,"Chinese Community Health Plan","CA","HMO","No",1,3.5,NA,"Commercial","Other"
"89",253,3,"Health Net Life Insurance","CA","PPO","Yes",2.5,2.5,2.5,"Commercial","Health Net"
"90",263,3,"United HealthCare Services","CA","PPO","Yes",2.5,2.5,3,"Commercial","United"
"91",273,3,"UnitedHealthcare Insurance","CA","PPO","Yes",2.5,2.5,3,"Commercial","United"
"92",282,2.5,"Blue Shield of California","CA","PPO","Yes",1.5,2,2.5,"Commercial","Blue"
"93",910,5,"Kaiser Foundation Health Plan of Northern California (H0524)","CA","HMO","Yes",4,5,4.5,"Medicare","Kaiser"
"94",1010,5,"Kaiser Foundation Health Plan of Southern California","CA","HMO","Yes",4,5,4.5,"Medicare","Kaiser"
"95",1110,4,"Aetna Life Insurance Company (California)","CA","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"96",129,4,"Aetna Life Insurance Company (Pennsylvania)","CA","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"97",139,4,"UnitedHealthcare of California","CA","HMO","Yes",3,3.5,3.5,"Medicare","United"
"98",148,3.5,"Aetna Health of California","CA","HMO","Yes",2.5,3.5,3,"Medicare","Aetna"
"99",158,3.5,"Blue Shield of California","CA","HMO","Yes",3,3.5,3.5,"Medicare","Blue"
"100",167,3.5,"CareMore HealthPlan (H0544)","CA","HMO","No",3.5,4,3,"Medicare","Other"
"101",176,3.5,"Health Net of California","CA","HMO","Yes",3,3.5,3,"Medicare","Health Net"
"102",186,3.5,"SCAN Health Plan (Classic/Connections/Options/Signature)","CA","HMO","No",3.5,3.5,3.5,"Medicare","Other"
"103",196,3.5,"UnitedHealthcare Insurance","CA","PPO","Yes",3,3.5,3,"Medicare","United"
"104",204,3,"Care1st Health Plan","CA","HMO","Yes",2,3.5,3,"Medicare","Other"
"105",214,3,"CareMore HealthPlan (H2593)","CA","HMO","No",2,3.5,3.5,"Medicare","Other"
"106",224,3,"CareMore HealthPlan (H3447)","CA","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"107",234,3,"CareMore HealthPlan (H4346)","CA","HMO","No",2,3,3.5,"Medicare","Other"
"108",244,3,"GEMCare Health Plan","CA","HMO","No",3,3.5,2.5,"Medicare","Other"
"109",254,3,"Inter Valley Health Plan","CA","HMO","No",2.5,3.5,3.5,"Medicare","Other"
"110",264,3,"SCAN Health Plan (Legacy/Connections) †","CA","HMO","No",2,3,3,"Medicare","Other"
"111",274,2.5,"Central Health Plan of California","CA","HMO","No",1.5,3.5,3,"Medicare","Other"
"112",283,2.5,"Easy Choice Health Plan","CA","HMO","No",2,2.5,2.5,"Medicare","Other"
"113",911,4,"CalOptima","CA","HMO","Yes",2,4,3.5,"Medicaid","Other"
"114",1011,3.5,"L.A. Care Health Plan","CA","HMO","Yes",2.5,3.5,3,"Medicaid","Other"
"115",1111,3,"Care1st Health Plan (Los Angeles)","CA","HMO","Yes",2,3,2.5,"Medicaid","Other"
"116",1210,3,"Care1st Health Plan (San Diego)","CA","HMO","Yes",1.5,3,3,"Medicaid","Other"
"117",1310,3,"Community Health Group","CA","HMO","Yes",2.5,2,2.5,"Medicaid","Other"
"118",149,3,"Inland Empire Health Plan","CA","HMO","Yes",2,3,2.5,"Medicaid","Other"
"119",159,3,"Molina Healthcare of California Partner Plan","CA","HMO","Yes",1.5,3,2.5,"Medicaid","Molina"
"120",168,2.5,"Blue Cross of California Partnership Plan","CA","HMO","Yes",1,3,2.5,"Medicaid","Blue"
"121",177,2.5,"Health Net of California","CA","HMO","Yes",1,2,2.5,"Medicaid","Health Net"
"122",187,2,"Contra Costa Health Plan","CA","HMO","Yes",2,NA,2,"Medicaid","Other"
"123",197,1.5,"Alameda Alliance for Health","CA","HMO","Yes",1.5,NA,NA,"Medicaid","Other"
"124",912,4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",1.5,4.5,4.5,"Commercial","Kaiser"
"125",1012,4,"Cigna HealthCare of Colorado","CO","HMO/POS","Yes",3,4,4,"Commercial","Cigna"
"126",1112,3.5,"Cigna Health and Life Insurance","CO","PPO","Yes",2,3.5,3.5,"Commercial","Cigna"
"127",1211,3.5,"Connecticut General Life Insurance (Cigna)","CO","PPO","Yes",2,3.5,3.5,"Commercial","Connecticut General"
"128",1311,3.5,"HMO Colorado","CO","HMO/POS","Yes",2,3.5,3.5,"Commercial","Other"
"129",1410,3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",2.5,3,3.5,"Commercial","Other"
"130",1510,3.5,"Rocky Mountain Healthcare Options","CO","PPO","Yes",2.5,3,3,"Commercial","Other"
"131",169,3.5,"United HealthCare Services","CO","PPO","Yes",3,3.5,3,"Commercial","United"
"132",178,3.5,"UnitedHealthcare Insurance","CO","PPO","Yes",3,3.5,3,"Commercial","United"
"133",188,3,"Aetna Health (Pennsylvania) - Colorado","CO","HMO/POS","Yes",2,2.5,2.5,"Commercial","Aetna"
"134",198,3,"Aetna Life Insurance Company (Colorado)","CO","PPO","Yes",3,3,2.5,"Commercial","Aetna"
"135",206,3,"Humana Health Plan","CO","HMO/POS","Yes",1.5,3,2.5,"Commercial","Humana"
"136",216,2.5,"United Healthcare Insurance","CO","PPO","Yes",2.5,1.5,2,"Commercial","United"
"137",913,4.5,"Kaiser Foundation Health Plan of Colorado","CO","HMO","Yes",3.5,5,4,"Medicare","Kaiser"
"138",1013,4,"Aetna Life Insurance Company (Colorado)","CO","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"139",1113,4,"Aetna Life Insurance Company (Pennsylvania)","CO","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"140",1212,4,"Humana Health Plan","CO","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"141",1312,4,"Humana Health Plan - Kansas City","CO","HMO","Yes",3.5,3.5,3.5,"Medicare","Humana"
"142",1411,4,"PacifiCare of Colorado","CO","HMO","Yes",3,3.5,3.5,"Medicare","Other"
"143",1511,4,"UnitedHealthcare Insurance","CO","HMO","No",4,5,4,"Medicare","United"
"144",1610,3.5,"Aetna Health (Pennsylvania) - Colorado","CO","HMO","Yes",2.5,3,3.5,"Medicare","Aetna"
"145",179,3.5,"Humana Insurance (Ohio)","CO","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"146",189,3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",4,3,2.5,"Medicare","Other"
"147",199,3.5,"UnitedHealthcare Insurance","CO","PPO","Yes",3,3.5,3,"Medicare","United"
"148",207,2.5,"Denver Health Medical Plan","CO","HMO","No",1.5,3.5,2.5,"Medicare","Other"
"149",217,2.5,"UnitedHealthcare of Colorado †","CO","HMO","No",2.5,3,3,"Medicare","United"
"150",227,2,"Colorado Access Health Plan","CO","HMO","No",1.5,2,2,"Medicare","Other"
"151",1014,3.5,"Rocky Mountain Health Plans","CO","HMO","Yes",3,3,4,"Medicaid","Other"
"152",915,4.5,"Anthem Blue Cross and Blue Shield in Connecticut","CT","HMO/POS","Yes",4.5,4.5,4,"Commercial","Anthem"
"153",1015,4,"Aetna Life Insurance Company (Connecticut)","CT","PPO","Yes",3.5,3.5,3,"Commercial","Aetna"
"154",1114,4,"Cigna Health and Life Insurance","CT","PPO","Yes",3.5,4,3.5,"Commercial","Cigna"
"155",1213,4,"ConnectiCare","CT","HMO/POS","Yes",3,4,3.5,"Commercial","Other"
"156",1313,4,"ConnectiCare Insurance Company (CICI)","CT","HMO/POS","Yes",3,4,3.5,"Commercial","Other"
"157",1412,4,"Connecticut General Life Insurance (Cigna)","CT","PPO","Yes",3.5,4,3.5,"Commercial","Connecticut General"
"158",1512,3.5,"Aetna Health (Connecticut)","CT","HMO/POS","Yes",2.5,3.5,3,"Commercial","Aetna"
"159",1611,3.5,"Oxford Health Plans","CT","HMO/POS","Yes",4.5,3.5,2,"Commercial","Other"
"160",1710,3,"Oxford Health Insurance","CT","PPO","Yes",2.5,3,2,"Commercial","Other"
"161",1810,3,"United Healthcare Insurance","CT","PPO","Yes",3,3,2,"Commercial","United"
"162",1910,3,"United HealthCare Services","CT","PPO","Yes",3,3,2,"Commercial","United"
"163",208,2.5,"Cigna HealthCare of Connecticut","CT","HMO/POS","Yes",3,2.5,NA,"Commercial","Cigna"
"164",218,2.5,"United Healthcare Insurance","CT","PPO","Yes",2.5,1.5,2,"Commercial","United"
"165",916,4,"Aetna Life Insurance Company (Connecticut)","CT","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"166",1016,4,"Aetna Life Insurance Company (Pennsylvania)","CT","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"167",1115,4,"UnitedHealthcare Insurance (Regional)","CT","PPO","Yes",3,3.5,3.5,"Medicare","United"
"168",1214,3.5,"Aetna Health (Connecticut)","CT","HMO","Yes",3,2.5,3.5,"Medicare","Aetna"
"169",1314,3.5,"ConnectiCare","CT","HMO/POS","No",3.5,3,3.5,"Medicare","Other"
"170",1413,3.5,"Oxford Health Plans","CT","HMO/POS","Yes",2.5,3,3.5,"Medicare","Other"
"171",1513,3.5,"UnitedHealthcare Insurance","CT","PPO","Yes",3,3.5,3,"Medicare","United"
"172",1612,2.5,"WellCare of Connecticut","CT","HMO/POS","No",2,2.5,2.5,"Medicare","WellCare"
"173",918,4,"Highmark BCBSD","DE","HMO/POS/PPO","Yes",4,3.5,3.5,"Commercial","Blue"
"174",1018,3.5,"Aetna Health (Pennsylvania) - Delaware","DE","HMO/POS","Yes",3,3,3,"Commercial","Aetna"
"175",1116,3.5,"Coventry Health Care of Delaware","DE","HMO/POS","Yes",3,3.5,3,"Commercial","Coventry"
"176",1215,3,"Optimum Choice","DE","HMO/POS","Yes",2.5,3,2,"Commercial","Other"
"177",1315,3,"United HealthCare Services","DE","PPO","Yes",3,3.5,2,"Commercial","United"
"178",1414,3,"UnitedHealthcare Insurance","DE","PPO","Yes",3,3.5,2,"Commercial","United"
"179",1514,2.5,"Aetna Life Insurance Company (Delaware)","DE","PPO","Yes",2.5,2.5,2,"Commercial","Aetna"
"180",1613,2.5,"Cigna Health and Life Insurance","DE","HMO/POS/PPO","Yes",3,2.5,1.5,"Commercial","Cigna"
"181",1712,2.5,"Connecticut General Life Insurance (Cigna)","DE","HMO/POS/PPO","Yes",3,2.5,1.5,"Commercial","Connecticut General"
"182",1811,2.5,"United Healthcare Insurance","DE","PPO","Yes",2.5,1.5,2,"Commercial","United"
"183",919,4,"Aetna Life Insurance Company (Delaware)","DE","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"184",1019,4,"Aetna Life Insurance Company (Pennsylvania)","DE","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"185",1117,3.5,"Aetna Health (Pennsylvania) - Delaware","DE","HMO","Yes",3,3,3,"Medicare","Aetna"
"186",1216,3.5,"Humana Insurance (Ohio)","DE","PPO","Yes",3.5,3.5,3,"Medicare","Humana"
"187",1316,3.5,"UnitedHealthcare Insurance","DE","PPO","Yes",3,3.5,3,"Medicare","United"
"188",1415,3,"Bravo Health Mid-Atlantic","DE","HMO","Yes",2,2.5,2.5,"Medicare","Other"
"189",1515,2,"UnitedHealthcare Insurance †","DE","PPO","No",2,1,2.5,"Medicare","United"
"190",920,3,"UnitedHealthcare Community Plan","DE","HMO","Yes",3,3,2,"Medicaid","United"
"191",921,5,"Kaiser Foundation Health Plan of the Mid-Atlantic States","DC","HMO","Yes",4,4.5,4.5,"Commercial","Kaiser"
"192",1020,3.5,"Aetna Health (Pennsylvania) - Maryland","DC","HMO/POS","Yes",3.5,3,3,"Commercial","Aetna"
"193",1118,3.5,"Aetna Life Insurance Company (MD/DC)","DC","PPO","Yes",2.5,3,3,"Commercial","Aetna"
"194",1217,3.5,"CareFirst BlueChoice","DC","HMO/POS","Yes",3,3,2.5,"Commercial","Blue"
"195",1317,3.5,"Cigna Health and Life Insurance","DC","HMO/POS/PPO","Yes",3,3,3.5,"Commercial","Cigna"
"196",1416,3.5,"Connecticut General Life Insurance (Cigna)","DC","HMO/POS/PPO","Yes",3,3,3.5,"Commercial","Connecticut General"
"197",1516,3.5,"Group Hospitalization and Medical Services","DC","HMO/POS","Yes",3,3,2.5,"Commercial","Other"
"198",1614,3.5,"MD - Individual Practice Association","DC","HMO/POS","Yes",4,3.5,2,"Commercial","Other"
"199",1713,3.5,"UnitedHealthcare of the Mid-Atlantic","DC","HMO/POS","Yes",3,3.5,2,"Commercial","United"
"200",1812,3,"CareFirst of Maryland","DC","PPO","Yes",2.5,3,2.5,"Commercial","Other"
"201",1912,3,"Group Hospitalization and Medical Services","DC","PPO","Yes",2.5,3,2.5,"Commercial","Other"
"202",2010,3,"Optimum Choice","DC","HMO/POS","Yes",2.5,3,2,"Commercial","Other"
"203",2110,2.5,"United Healthcare Insurance","DC","PPO","Yes",2.5,1.5,2,"Commercial","United"
"204",229,2.5,"United HealthCare Services","DC","PPO","Yes",2,3,2,"Commercial","United"
"205",239,2.5,"UnitedHealthcare Insurance","DC","PPO","Yes",2,3,2,"Commercial","United"
"206",922,5,"Kaiser Foundation Health Plan of the Mid-Atlantic States","DC","HMO","Yes",3.5,5,4.5,"Medicare","Kaiser"
"207",1021,4,"Aetna Life Insurance Company (MD/DC)","DC","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"208",1119,4,"Aetna Life Insurance Company (Pennsylvania)","DC","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"209",1218,3.5,"UnitedHealthcare Insurance","DC","PPO","Yes",3,3.5,3,"Medicare","United"
"210",1318,3,"Bravo Health Mid-Atlantic","DC","HMO","Yes",2,2.5,2.5,"Medicare","Other"
"211",1417,2,"UnitedHealthcare Insurance †","DC","PPO","No",2,1,2.5,"Medicare","United"
"212",923,3.5,"AmeriHealth District of Columbia","DC","HMO","Yes (Interim)",3,4,2.5,"Medicaid","Other"
"213",1022,2.5,"Health Services for Children with Special Needs","DC","HMO","No",3,3.5,2,"Medicaid","Other"
"214",924,4.5,"Capital Health Plan","FL","HMO","Yes",4.5,4.5,4,"Commercial","Other"
"215",1023,4,"AvMed Health Plans","FL","HMO/POS","Yes",4,3,3,"Commercial","Other"
"216",1121,4,"Florida Health Care Plans","FL","HMO/POS","Yes",4.5,3.5,3.5,"Commercial","Other"
"217",1220,3.5,"Aetna Life Insurance Company (Florida)","FL","PPO","Yes",3.5,2.5,3,"Commercial","Aetna"
"218",1319,3.5,"Cigna Health and Life Insurance","FL","PPO","Yes",3,3,3,"Commercial","Cigna"
"219",1418,3.5,"Cigna HealthCare of Florida","FL","HMO/POS","Yes",3.5,3,3,"Commercial","Cigna"
"220",1518,3.5,"Connecticut General Life Insurance (Cigna)","FL","PPO","Yes",3,3,3,"Commercial","Connecticut General"
"221",1615,3.5,"Health First Health Plans","FL","HMO/POS","Yes",3,3.5,3.5,"Commercial","Other"
"222",1714,3,"Aetna Health (Florida)","FL","HMO/POS","Yes",2.5,2.5,3,"Commercial","Aetna"
"223",1813,3,"Blue Cross Blue and Shield of Florida (Florida Blue)","FL","PPO","Yes",3.5,2.5,2.5,"Commercial","Blue"
"224",1913,3,"Coventry Health Care of Florida","FL","HMO/POS","Yes",2.5,3,2.5,"Commercial","Coventry"
"225",2011,3,"Coventry Health Plan of Florida","FL","HMO","Yes",1.5,3,2.5,"Commercial","Coventry"
"226",2111,3,"Health Options","FL","HMO","Yes",2.5,2.5,2.5,"Commercial","Other"
"227",2210,3,"Humana Medical Plan - Florida","FL","HMO/POS","Yes",2,3,2.5,"Commercial","Humana"
"228",2310,3,"Neighborhood Health Partnership","FL","HMO/POS","Yes",2.5,2.5,2,"Commercial","Other"
"229",249,3,"United HealthCare Services","FL","PPO","Yes",2.5,2.5,2.5,"Commercial","United"
"230",258,3,"UnitedHealthcare Insurance","FL","PPO","Yes",2.5,2.5,2.5,"Commercial","United"
"231",268,3,"UnitedHealthcare of Florida","FL","HMO/POS","Yes",2,2.5,2,"Commercial","United"
"232",276,2.5,"United Healthcare Insurance","FL","PPO","Yes",2.5,1.5,2,"Commercial","United"
"233",925,5,"Capital Health Plan","FL","HMO","Yes",5,4.5,4,"Medicare","Other"
"234",1024,4.5,"Florida Health Care Plans","FL","HMO/POS","Yes",4.5,4.5,3.5,"Medicare","Other"
"235",1122,4.5,"Leon Medical Centers Health Plans","FL","HMO","No",5,4,4,"Medicare","Other"
"236",1221,4,"Aetna Health (Florida)","FL","HMO","Yes",3.5,3.5,3,"Medicare","Aetna"
"237",1320,4,"Aetna Life Insurance Company (Florida)","FL","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"238",1419,4,"Aetna Life Insurance Company (Pennsylvania)","FL","PPO","Yes",3.5,3.5,3.5,"Medicare","Aetna"
"239",1519,4,"AvMed Health Plans","FL","HMO","Yes",3.5,3,3.5,"Medicare","Other"
"240",1616,4,"Coventry Health Plan of Florida","FL","HMO","Yes",3,3,3.5,"Medicare","Coventry"
"241",1715,4,"Health First Health Plans","FL","HMO/POS","Yes",4,3.5,3.5,"Medicare","Other"
"242",1814,4,"Humana Medical Plan - Florida","FL","HMO","Yes",3,4,3.5,"Medicare","Humana"
"243",1914,4,"Optimum Healthcare","FL","HMO","Yes",2.5,3.5,4,"Medicare","Other"
"244",2012,3.5,"CarePlus Health Plans","FL","HMO","No",3.5,4,3.5,"Medicare","Other"
"245",2112,3.5,"Freedom Health","FL","HMO","Yes",2.5,3.5,3.5,"Medicare","Other"
"246",2211,3.5,"Health Options","FL","HMO","Yes",4,3,3,"Medicare","Other"
"247",2311,3.5,"HealthSun Health Plans","FL","HMO","No",4,2.5,3.5,"Medicare","Other"
"248",2410,3.5,"Humana Health Insurance of Florida","FL","PPO","No",3.5,4,3.5,"Medicare","Humana"
"249",259,3.5,"Medica Healthcare Plans","FL","HMO/POS","No (In process)",4.5,3,3,"Medicare","Medica "
"250",269,3.5,"Preferred Care Partners Health Plan","FL","HMO/POS","Yes (Interim)",4,3,2.5,"Medicare","Other"
"251",277,3.5,"UnitedHealthcare Insurance","FL","PPO","Yes",3,3.5,3,"Medicare","United"
